
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
 1014.0    113   11.6   10.8     95   8.08    210      2  283.6  306.1  285.0
 1010.0    146   10.8    9.1     89   7.23    204      2  283.1  303.3  284.4
 1000.0    230   13.8   11.2     84   8.42    190      2  286.9  310.6  288.4
  999.0    238   13.8   11.1     84   8.37    182      2  287.0  310.6  288.5
  991.2    305   14.1   10.1     77   7.86    115      3  287.9  310.2  289.3
  987.0    341   14.2    9.5     73   7.60    101      4  288.4  310.0  289.8
  956.0    610   13.7   10.7     82   8.49    355      9  290.5  314.8  292.0
  952.0    646   13.6   10.8     83   8.61    352      9  290.8  315.4  292.3
  930.0    843   12.2   10.0     86   8.35    338      9  291.3  315.3  292.8
  925.0    888   12.0    9.7     86   8.23    335      9  291.6  315.2  293.0
  922.1    914   12.0    9.4     84   8.07    340      9  291.8  315.0  293.2
  903.0   1090   11.8    7.2     73   7.10      0      8  293.4  314.1  294.6
  889.1   1219   11.1    6.9     76   7.08     15      7  293.9  314.6  295.2
  863.0   1468    9.6    6.4     80   7.03    339      9  294.9  315.5  296.2
  850.0   1594   10.6    2.6     58   5.46    320     10  297.2  313.6  298.2
  836.0   1733   11.8   -9.2     22   2.29    347     12  299.9  307.2  300.3
  833.0   1763   11.8   -2.2     38   3.92    352     13  300.2  312.3  300.9
  827.0   1823   12.4  -14.6     14   1.50      4     14  301.5  306.4  301.8
  826.4   1829   12.4  -14.6     14   1.50      5     14  301.5  306.4  301.8
  796.7   2134   10.8  -14.0     16   1.64      5     17  303.0  308.3  303.3
  768.1   2438    9.2  -13.3     19   1.79     25     16  304.4  310.3  304.7
  762.0   2504    8.8  -13.2     20   1.82     28     16  304.7  310.7  305.1
  751.0   2624    8.0   -2.0     49   4.42     34     16  305.1  318.9  305.9
  740.2   2743    7.2   -1.6     54   4.60     40     16  305.5  319.9  306.3
  733.0   2824    6.6   -1.4     57   4.73     31     15  305.7  320.5  306.6
  716.0   3016    5.4   -4.6     49   3.81      9     14  306.4  318.5  307.2
  713.2   3048    5.6   -7.9     37   2.97      5     14  307.0  316.6  307.6
  701.0   3189    6.6  -22.4     10   0.91     10     14  309.6  312.8  309.8
  700.0   3201    6.6  -22.4     10   0.91     10     14  309.8  312.9  309.9
  687.0   3353    5.4  -23.2     11   0.87     20     16  310.1  313.2  310.3
  661.5   3658    3.1  -24.7     11   0.79     15     13  310.8  313.6  311.0
  637.0   3962    0.7  -26.2     11   0.71    355     12  311.5  314.0  311.6
  613.4   4267   -1.6  -27.7     12   0.64      0     17  312.2  314.5  312.3
  611.0   4299   -1.9  -27.9     12   0.63      0     16  312.2  314.5  312.4
  590.3   4572   -3.4  -24.1     18   0.93      0     10  313.6  316.8  313.7
  584.0   4657   -3.9  -22.9     21   1.04    349     11  314.0  317.6  314.2
  568.0   4877   -4.5  -34.5      8   0.36    320     14  315.8  317.1  315.9
  568.0   4876   -4.5  -34.5      8   0.36    320     14  315.8  317.1  315.8
  545.0   5201   -5.7  -24.7     21   0.95    325     13  318.1  321.5  318.3
  500.0   5870  -11.1  -25.1     31   1.00    335     10  319.4  323.0  319.6
  485.4   6096  -12.9  -25.0     35   1.04    335     10  320.0  323.7  320.2
  469.0   6357  -14.9  -24.9     42   1.09     18     13  320.6  324.5  320.8
  466.2   6401  -15.2  -25.1     42   1.07     25     14  320.8  324.6  321.0
  447.6   6706  -17.2  -26.7     43   0.97      5     12  322.1  325.6  322.3
  429.7   7010  -19.1  -28.3     44   0.87     10     16  323.3  326.5  323.5
  423.0   7128  -19.9  -28.9     45   0.84      0     16  323.8  326.9  324.0
  412.4   7315  -20.9  -30.8     41   0.72    345     16  324.9  327.6  325.0
  400.0   7540  -22.1  -33.1     36   0.59    340     18  326.2  328.4  326.3
  395.6   7620  -22.6  -34.2     34   0.54    350     20  326.6  328.6  326.7
  365.0   8210  -26.1  -42.1     21   0.26      5     19  329.5  330.5  329.5
  364.0   8230  -26.2  -42.2     21   0.26      5     19  329.6  330.6  329.6
  348.0   8555  -28.7  -44.7     20   0.21      3     20  330.5  331.3  330.5
  320.1   9144  -34.1  -47.0     26   0.17      0     23  330.9  331.7  331.0
  304.0   9508  -37.5  -48.5     31   0.15      0     24  331.1  331.8  331.2
  300.0   9600  -38.1  -49.1     31   0.15      0     24  331.6  332.2  331.6
  255.7  10668  -47.4  -59.2     24   0.05    355     22  333.3  333.6  333.3
  250.0  10820  -48.7  -60.7     23   0.04    355     22  333.5  333.7  333.5
  249.0  10846  -49.1  -61.1     23   0.04    356     22  333.3  333.5  333.3
  222.0  11582  -54.8  -65.7     25   0.03     20     32  335.7  335.8  335.7
  201.0  12219  -59.7  -69.7     26   0.02     15     31  337.6  337.7  337.6
  200.0  12250  -59.7  -70.7     23   0.01     15     31  338.1  338.1  338.1
  199.0  12281  -59.9  -71.9     19   0.01     14     31  338.2  338.3  338.2
  183.0  12802  -62.9  -72.2     27   0.01      5     32  341.5  341.6  341.6
  181.0  12871  -63.3  -72.3     29   0.01    359     32  342.0  342.0  342.0
  176.0  13043  -64.3  -69.3     50   0.02    345     34  343.1  343.2  343.1
  174.2  13106  -64.5  -70.8     42   0.02    340     34  343.7  343.8  343.7
  169.0  13292  -65.3  -75.3     24   0.01    340     36  345.4  345.5  345.4
  157.7  13716  -65.6  -79.6     13   0.00    340     38  351.8  351.8  351.8
  155.0  13820  -65.7  -80.7     11   0.00    340     37  353.4  353.4  353.4
  150.0  14020  -65.5  -79.5     13   0.00    340     34  357.1  357.1  357.1
  142.6  14326  -65.9  -80.6     11   0.00    350     29  361.6  361.6  361.6
  135.5  14630  -66.2  -81.8     10   0.00    335     31  366.2  366.2  366.2
  128.8  14935  -66.6  -82.9      9   0.00     10     22  370.9  370.9  370.9
  122.5  15240  -67.0  -84.0      7   0.00    335     24  375.6  375.6  375.6
  116.4  15545  -67.4  -85.1      6   0.00    340     28  380.4  380.4  380.4
  110.7  15850  -67.8  -86.2      6   0.00     15     21  385.2  385.3  385.2
  105.2  16154  -68.1  -87.4      5   0.00     45     11  390.1  390.1  390.1
  100.0  16460  -68.5  -88.5      4   0.00      5      7  395.1  395.1  395.1
  100.0  16459  -68.5  -88.5      4   0.00      5      7  395.1  395.1  395.1
   95.2  16755  -67.5  -88.5      4   0.00    321     14  402.7  402.7  402.7
   95.1  16764  -67.5  -88.5      4   0.00    320     14  402.8  402.8  402.8
   90.3  17069  -68.3  -89.3      4   0.00    315     19  407.0  407.1  407.0
   89.5  17126  -68.5  -89.5      4   0.00    323     18  407.8  407.9  407.8
   85.9  17374  -67.9  -89.9      3   0.00    355     13  413.8  413.8  413.8
   81.7  17678  -67.2  -90.5      2   0.00     10     19  421.2  421.2  421.2
   77.7  17983  -66.5  -91.0      2   0.00     35     24  428.8  428.8  428.8
   73.8  18288  -65.8  -91.5      2   0.00     65     14  436.5  436.5  436.5
   70.0  18610  -65.1  -92.1      1   0.00     45      3  444.8  444.8  444.8
   66.8  18898  -64.7  -92.1      1   0.00    280     10  451.7  451.7  451.7
   63.6  19202  -64.2  -92.0      1   0.00    295     14  459.2  459.2  459.2
   60.5  19507  -63.7  -92.0      1   0.00    340     10  466.8  466.8  466.8
   57.6  19812  -63.2  -92.0      1   0.00    320     10  474.5  474.5  474.5
   54.8  20117  -62.8  -92.0      1   0.00    355     10  482.4  482.4  482.4
   52.1  20422  -62.3  -91.9      1   0.00      5     10  490.3  490.4  490.3
   50.0  20680  -61.9  -91.9      1   0.00      5      8  497.2  497.2  497.2
   48.0  20934  -60.1  -91.1      1   0.00     77      9  507.3  507.3  507.3
   47.3  21031  -60.3  -91.3      1   0.00    105     10  509.0  509.0  509.0
   45.0  21336  -61.1  -91.8      1   0.00     45      5  514.4  514.4  514.4
   40.8  21946  -62.6  -92.9      1   0.00      5     10  525.3  525.3  525.3
   38.8  22250  -63.3  -93.4      1   0.00     65     17  530.9  530.9  530.9
   37.9  22398  -63.7  -93.7      1   0.00     87     14  533.6  533.6  533.6
   37.0  22555  -63.5  -93.5      1   0.00    110     10  537.9  537.9  537.9
   33.5  23165  -62.9  -92.8      1   0.00     40     22  555.1  555.1  555.1
   31.9  23470  -62.5  -92.5      1   0.00     60     18  563.9  563.9  563.9
   30.3  23774  -62.2  -92.2      1   0.00     45      5  572.8  572.8  572.8
