
-----------------------------------------------------------------------------
,PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SKNT,THTA,THTE,THTV
,hPa,m,C,C,%,g/kg,deg,knot,K,K,K,
-----------------------------------------------------------------------------
,886.0,1191,20.0,-2.0,23,3.74,160,9,303.5,315.2,304.1
,850.0,1549,16.0,-5.0,23,3.12,130,10,302.9,312.7,303.5
,790.0,2163,10.4,-5.6,32,3.20,86,13,303.3,313.4,303.9
,770.0,2375,9.3,-6.7,32,3.02,70,14,304.4,314.0,304.9
,745.0,2648,7.9,-8.1,31,2.80,150,7,305.7,314.7,306.2
,740.0,2703,7.6,-8.4,31,2.75,156,8,306.0,314.8,306.5
,725.0,2872,8.2,-8.8,29,2.72,176,10,308.4,317.3,308.9
,700.0,3160,6.2,-9.8,31,2.61,210,14,309.3,317.9,309.8
,649.0,3757,1.0,-11.4,39,2.48,225,23,310.2,318.3,310.6
,551.0,5050,-10.3,-14.8,69,2.21,235,41,311.7,319.0,312.1
,529.0,5372,-13.1,-15.7,81,2.14,239,38,311.9,319.1,312.3
,500.0,5800,-14.9,-20.9,60,1.45,245,35,314.8,319.8,315.1
,498.0,5830,-14.9,-20.9,60,1.46,245,35,315.2,320.2,315.4
,400.0,7450,-27.1,-36.1,42,0.44,230,39,319.7,321.3,319.8
,381.0,7798,-29.7,-38.7,41,0.35,230,38,320.7,322.1,320.8
,301.0,9437,-41.1,-53.1,26,0.09,250,75,327.0,327.4,327.0
,300.0,9460,-41.3,-53.3,26,0.09,250,76,327.0,327.4,327.1
,284.0,9828,-44.0,-52.0,40,0.11,250,85,328.3,328.8,328.4
,280.0,9924,-44.7,-51.7,45,0.12,250,86,328.7,329.1,328.7
,250.0,10670,-50.3,-61.3,26,0.04,250,91,331.1,331.3,331.2
,218.0,11551,-55.8,-69.9,16,0.01,245,93,335.9,335.9,335.9
,209.0,11822,-57.5,-72.5,13,0.01,245,89,337.3,337.3,337.3
,200.0,12100,-57.7,-72.7,13,0.01,245,86,341.2,341.3,341.2
,170.0,13124,-59.1,-82.3,3,0.00,255,72,355.2,355.2,355.2
,158.0,13585,-59.7,-86.7,2,0.00,252,73,361.6,361.6,361.6
,150.0,13910,-61.1,-90.1,1,0.00,250,74,364.6,364.6,364.6
,119.0,15324,-66.9,-104.9,0,0.00,255,75,378.9,378.9,378.9
,111.0,15743,-67.3,-98.3,1,0.00,255,76,385.8,385.8,385.8
,104.0,16141,-63.5,-90.8,1,0.00,255,77,400.2,400.2,400.2
,100.0,16380,-61.3,-86.3,2,0.00,265,55,409.0,409.0,409.0
,99.0,16442,-61.6,-86.6,2,0.00,275,49,409.6,409.6,409.6
,90.6,16987,-64.3,-89.3,2,0.00,265,46,414.8,414.8,414.8
,77.0,17985,-62.7,-89.5,2,0.00,250,40,437.7,437.8,437.7
,75.1,18138,-62.5,-89.5,2,0.00,258,37,441.4,441.4,441.4
,70.0,18570,-63.5,-91.5,1,0.00,280,28,448.2,448.2,448.2
,68.0,18747,-64.8,-92.8,1,0.00,280,29,449.2,449.2,449.2
,62.6,19251,-68.3,-96.3,1,0.00,275,27,452.1,452.1,452.1
,58.5,19660,-67.1,-94.1,1,0.00,269,26,463.7,463.7,463.7
,55.3,20006,-61.1,-87.1,2,0.00,264,25,484.9,484.9,484.9
,50.0,20630,-63.5,-91.5,1,0.00,255,24,493.4,493.4,493.4
,48.0,20880,-63.8,-91.8,1,0.00,255,22,498.6,498.6,498.6
,44.1,21399,-64.3,-92.3,1,0.00,250,37,509.5,509.5,509.5
,44.0,21413,-64.2,-92.2,1,0.00,250,37,510.1,510.1,510.1
,40.0,22002,-59.7,-88.7,1,0.00,275,33,535.4,535.4,535.4
,39.8,22033,-59.5,-88.5,1,0.00,274,33,536.7,536.7,536.7
,31.6,23468,-61.9,-91.9,1,0.00,247,39,566.8,566.9,566.8
,31.0,23587,-61.5,-91.1,1,0.00,245,40,571.1,571.2,571.1
,30.0,23790,-60.7,-89.7,1,0.00,250,44,578.6,578.6,578.6
,28.3,24165,-55.7,-86.7,1,0.01,253,44,602.1,602.2,602.1
,24.0,25238,-55.3,-88.2,1,0.01,260,44,632.3,632.3,632.3
,23.7,25320,-55.3,-88.3,1,0.01,260,44,634.6,634.7,634.6
,20.0,26440,-50.1,-83.1,1,0.02,260,44,682.1,682.3,682.1
,19.0,26776,-48.7,-85.7,1,0.01,260,44,696.5,696.6,696.5
,17.2,27431,-47.7,-89.7,0,0.01,260,44,719.8,719.8,719.8
,17.0,27509,-47.6,-89.8,0,0.01,260,44,722.4,722.5,722.4
,12.2,29707,-45.9,-92.9,0,0.01,260,44,800.3,800.4,800.3
,12.0,29817,-45.7,-92.7,0,0.01,260,44,804.7,804.8,804.7
,11.0,30398,-44.8,-91.8,0,0.01,260,44,828.3,828.5,828.4
,10.5,30709,-44.3,-91.3,0,0.01,841.2,841.4,841.3
