
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
  885.0   1191   16.0   -3.0     27   3.48    155      6  299.4  310.2  300.1
  850.0   1529   11.8   -3.2     35   3.57    125      6  298.5  309.5  299.1
  827.0   1757    9.6   -3.4     40   3.61    114      7  298.5  309.6  299.2
  749.0   2570    6.5   -4.7     45   3.62     75      9  303.7  315.1  304.4
  732.0   2758    5.8   -5.0     46   3.62    135      3  304.9  316.4  305.6
  700.0   3125    4.4   -5.6     48   3.62    210     16  307.3  318.8  308.0
  681.0   3349    3.0   -7.0     48   3.34    230     21  308.2  318.9  308.8
  671.0   3466    2.0   -7.4     50   3.29    240     23  308.4  318.9  309.0
  568.0   4787   -9.5  -11.5     85   2.81    255     39  309.9  319.0  310.4
  538.0   5204  -12.9  -14.7     86   2.28    260     45  310.7  318.2  311.1
  536.0   5232  -13.0  -16.0     78   2.06    260     45  310.8  317.7  311.2
  516.0   5522  -14.5  -29.5     27   0.65    260     41  312.5  314.8  312.6
  501.0   5745  -15.3  -31.3     24   0.56    260     38  314.1  316.2  314.2
  500.0   5760  -15.7  -30.7     26   0.60    260     38  313.8  316.0  313.9
  484.0   6004  -18.3  -24.3     59   1.11    260     38  313.6  317.4  313.8
  467.0   6270  -20.3  -31.3     37   0.60    260     38  314.3  316.5  314.4
  445.0   6626  -22.5  -26.3     71   1.01    260     39  315.9  319.5  316.1
  411.0   7205  -26.3  -30.0     71   0.77    260     39  318.2  321.1  318.4
  400.0   7400  -29.1  -31.7     78   0.68    260     39  317.1  319.5  317.2
  379.0   7773  -32.2  -35.3     74   0.50    260     36  317.9  319.8  318.0
  300.0   9390  -45.7  -50.7     57   0.12    255     57  320.8  321.3  320.9
  281.0   9821  -49.7  -55.7     49   0.07    259     66  321.1  321.4  321.1
  270.0  10080  -51.3  -57.3     49   0.06    261     71  322.5  322.8  322.5
  254.0  10477  -50.3  -63.3     20   0.03    264     80  329.7  329.8  329.7
  250.0  10580  -51.5  -65.5     17   0.02    265     82  329.4  329.5  329.4
  221.0  11373  -56.1  -69.1     18   0.02    260     83  334.1  334.2  334.1
  205.0  11852  -55.0  -72.7      9   0.01    260     90  343.1  343.2  343.1
  204.0  11883  -54.9  -72.9      9   0.01    261     89  343.7  343.8  343.7
  200.0  12010  -55.5  -73.5      9   0.01    265     87  344.7  344.8  344.7
  191.0  12302  -56.3  -79.3      4   0.00    265     82  348.0  348.0  348.0
  185.0  12503  -56.8  -82.1      3   0.00    265     79  350.5  350.5  350.5
  158.0  13494  -59.0  -96.1      0   0.00    265     89  362.9  362.9  362.9
  150.0  13820  -59.7 -100.7      0   0.00    270     76  367.0  367.0  367.0
  117.0  15359  -63.7 -103.3      0   0.00    265     56  386.6  386.6  386.6
  111.0  15685  -64.6 -103.9      0   0.00    265     65  390.8  390.8  390.8
  105.0  16029  -65.5 -104.5      0   0.00    275     53  395.4  395.4  395.4
  101.0  16268  -62.3 -102.3      0   0.00    283     42  405.9  405.9  405.9
  100.0  16330  -62.5 -102.5      0   0.00    285     39  406.7  406.7  406.7
   96.0  16579  -63.3 -103.0      0   0.00    295     29  409.9  409.9  409.9
   79.0  17766  -67.2 -105.3      0   0.00    250     42  425.3  425.3  425.3
   77.9  17851  -67.5 -105.5      0   0.00    251     41  426.4  426.4  426.4
   70.0  18500  -63.9 -102.9      0   0.00    260     33  447.3  447.3  447.3
   67.2  18756  -62.1 -102.1      0   0.00    267     31  456.5  456.5  456.5
   53.0  20245  -63.1 -103.1      0   0.00    310     21  486.2  486.2  486.2
   50.0  20610  -62.3 -102.3      0   0.00    310     21  496.2  496.2  496.2
   38.3  22251  -59.9 -100.9      0   0.00    310     20  541.6  541.6  541.6
   38.0  22299  -60.0 -101.0      0   0.00    310     20  542.5  542.5  542.5
   34.0  22985  -61.9 -101.9      0   0.00    286     19  555.1  555.1  555.1
   30.2  23727  -52.5  -96.5      0   0.00    261     18  599.8  599.8  599.8
   30.0  23770  -52.7  -96.7      0   0.00    260     18  600.4  600.4  600.4
   29.0  23988  -52.6  -96.6      0   0.00    220     20  606.5  606.5  606.5
   23.0  25480  -51.8  -95.8      0   0.00    270     25  650.4  650.4  650.4
   20.0  26380  -51.3  -95.3      0   0.00    270     19  678.4  678.4  678.4
   19.0  26712  -51.7  -95.7      0   0.00    235     18  687.1  687.1  687.1
   18.0  27062  -52.2  -96.2      0   0.00    210     21  696.4  696.4  696.4
   17.3  27319  -52.5  -96.5      0   0.00    238     22  703.3  703.3  703.3
   17.0  27435  -52.1  -96.3      0   0.00    250     23  708.1  708.2  708.1
   14.0  28713  -47.4  -93.8      0   0.00    260     32  764.3  764.4  764.4
   12.1  29674  -43.9  -91.9      0   0.01    260     22  809.2  809.4  809.3
   11.0  30311  -45.1  -92.4      0   0.01    260     15  827.1  827.2  827.1
   10.7  30496  -45.5  -92.5      0   0.01    257     16  832.3  832.4  832.3
   10.0  30950  -42.3  -90.3      0   0.01    250     20  860.5  860.7  860.5
    7.2  33171  -42.1  -90.1      0   0.02    236     30  946.0  946.3  946.0
    7.0                                       235     31                     
