BANNU^^^^^^^^^^^;OPBN;&;&;32;58N;070;31E;404;X;7;PK
BAHAWALPUR^^^^^^;OPBW;&;41700;29;21N;071;43E;120;X;T;7;PK
CHITRAL^^^^^^^^^;OPCH;&;41506;35;51N;071;49E;1500;X;7;PK
DERA^GHAZI^^^^^^;OPDG;&;&;29;58N;070;29E;150;T;8;PK
DERA^ISMAIL^KHAN;OPDI;&;41624;31;49N;070;55E;173;X;7;PK
FAISALABAD^INTL^;OPFA;&;&;31;22N;073;00E;185;X;T;6;PK
GWADAR^^^^^^^^^^;OPGD;&;&;25;14N;062;20E;29;X;T;6;PK
GILGIT^^^^^^^^^^;OPGT;&;41517;35;55N;074;19E;1454;X;7;PK
JACOBABAD^(CIV/M;OPJA;&;41715;28;18N;068;28E;56;X;7;PK
JIWANI^(CAPE)^^^;OPJI;&;41756;25;04N;061;47E;57;X;7;PK
KARACHI^INTL^ARP;OPKC;&;41780;24;53N;067;10E;22;X;T;6;PK
HYDERABAD^AIRPOR;OPKD;&;41764;25;19N;068;22E;41;X;7;PK
KALAT^^^^^^^^^^^;OPKL;&;&;29;01N;066;34E;2015;X;7;PK
LAHORE^(CIV/MIL);OPLA;&;41641;31;31N;074;24E;217;X;T;6;PK
LAHORE/WALTON^^^;OPLH;&;41640;31;33N;074;19E;215;X;7;PK
MIANWALI^(CIV/MI;OPMI;&;41592;32;32N;071;31E;212;X;7;PK
MIRANSHAH(CIV/MI;OPMN;&;&;32;58N;070;07E;921;X;7;PK
KARACHI/MASROOR^;OPMR;&;41781;24;53N;066;55E;16;X;7;PK
MULTAN^^^^^^^^^^;OPMT;&;41675;30;11N;071;25E;123;X;T;7;PK
NAWABSHAH^^^^^^^;OPNH;&;41749;26;13N;068;22E;38;X;T;6;PK
ORMARA^^^^^^^^^^;OPOR;&;&;25;13N;064;37E;2;X;7;PK
PANJGUR^^^^^^^^^;OPPG;&;41739;26;57N;064;08E;1003;X;7;PK
PASNI^^^^^^^^^^^;OPPI;&;41759;25;17N;063;21E;11;X;7;PK
PESHAWAR^(CIV/MI;OPPS;&;41530;34;01N;071;31E;360;X;T;7;PK
QUETTA^(CIV/MIL);OPQT;&;41660;30;15N;066;56E;1606;X;7;PK
SHAIKH^ZAID^^^^^;OPRK;&;&;28;23N;070;17E;83;X;T;8;PK
ISLAMABAD^(CIV/M;OPRN;&;41571;33;37N;073;05E;508;X;T;6;PK
RAIFIQUI^(PAK-AF;OPRQ;&;&;30;46N;072;16E;150;X;7;PK
RISALPUR^(PAK-AF;OPRS;&;41533;34;04N;071;58E;317;X;7;PK
SIBI^^^^^^^^^^^^;OPSB;&;41697;29;33N;067;52E;134;X;7;PK
SUKKUR^^^^^^^^^^;OPSK;&;&;27;43N;068;48E;58;X;T;7;PK
SARGODHA^(PAK-AF;OPSR;&;41594;32;02N;072;40E;188;X;7;PK
SAIDU^SHARIF^^^^;OPSS;&;41523;34;49N;072;21E;970;X;7;PK
SIALKOT^AIRPORT^;OPST;&;&;32;32N;074;22E;247;X;T;8;PK
TARBELA^DAM^^^^^;OPTA;&;&;33;59N;072;36E;340;X;8;PK
TURBAT^NEW^^^^^^;OPTU;&;&;25;58N;063;01E;122;X;7;PK
