ADEN^INTL^^^^^^^;OYAA;&;41480;12;50N;045;01E;3;X;T;6;YE
AL^GHAIDAH^^^^^^;OYAG;&;41398;16;05N;052;05E;42;X;6;YE
KAMARAN^ISLAND^^;OYAN;&;41430;15;22N;042;34E;15;X;7;YE
RIYAN^^^^^^^^^^^;OYAR;&;41443;14;35N;049;15E;25;X;7;YE
ABBS^^^^^^^^^^^^;OYAS;&;&;16;01N;043;10E;2000;X;7;YE
ATAQ^^^^^^^^^^^^;OYAT;&;41437;14;33N;046;50E;1039;X;7;YE
AL-BAYDA^^^^^^^^;OYBI;&;&;13;58N;045;34E;1011;X;7;YE
DHAMAR^^^^^^^^^^;OYDM;&;41434;14;32N;044;26E;2425;X;7;YE
HODEIDAH^^^^^^^^;OYHD;&;41431;14;45N;042;58E;115;X;T;6;YE
HAJJAH^^^^^^^^^^;OYHJ;&;41391;15;42N;043;36E;1760;X;6;YE
IBB^^^^^^^^^^^^^;OYIB;&;&;13;58N;044;10E;1920;X;8;YE
MARIB^^^^^^^^^^^;OYMB;&;41350;15;28N;045;19E;1000;X;7;YE
MOKHA^^^^^^^^^^^;OYMC;&;41477;13;15N;044;07E;3;X;7;YE
MOKHA^^^^^^^^^^^;OYMK;&;41382;13;19N;043;16E;3;X;7;YE
RMUKALLA^INTL^^^;OYRN;&;&;14;40N;049;23E;17;X;T;6;YE
SA'ADA/SADAH^^^^;OYSH;&;&;16;58N;043;43E;1890;X;7;YE
SANA'A^(CIV/MIL);OYSN;&;41344;15;29N;044;13E;2190;X;T;6;YE
SANA'A^^^^^^^^^^;&;&;41404;15;22N;044;12E;2190;X;6;YE
SOCOTRA^ISLAND^^;OYSQ;&;41494;12;37N;053;53E;45;X;7;YE
SAYUN^^^^^^^^^^^;OYSY;&;&;15;58N;048;47E;701;X;T;7;YE
TAIZ/GANED^^^^^^;OYTZ;&;41466;13;40N;044;07E;1385;X;T;6;YE
AL-HAZM^^^^^^^^^;OYZM;&;41326;16;11N;044;46E;1900;X;7;YE
AL-GHAIDAH^^^^^^;OYGD;&;&;16;11N;052;10E;41;X;7;YE
ADEN^KHORMAKSAR^;ODAA;&;41467;12;49N;045;01E;3;Z;7;YE
