ADAK^NAS^^^^^^^^;PADK;ADK;70454;51;53N;176;39W;4;X;T;7;US
AKHIOK^^^^^^^^^^;PAKH;AKK;&;56;56N;154;11W;14;X;8;US
AKUTAN^^^^^^^^^^;PAUT;&;&;54;09N;165;36W;25;X;7;US
AMBLER^^^^^^^^^^;PAFM;AFM;&;67;06N;157;51W;88;X;7;US
ANAKTUVUK^PASS^^;PAKP;AKP;&;68;08N;151;44W;642;X;7;US
ANCHORAGE^INTL^^;PANC;ANC;70273;61;10N;150;01W;38;X;T;X;A;5;US
ANCHORAGE/WFO^^^;PAFC;AFC;&;61;10N;150;02W;48;F;8;US
ANCHORAG/NIKISKI;PAHG;AHG;&;60;44N;151;21W;74;X;8;US
ANCHORAGE/LAKE^H;PALH;LHD;&;61;11N;149;58W;22;X;A;7;US
ANCHORAGE/ARTCC^;PZAN;ZAN;&;61;10N;149;59W;22;A;8;US
ANCHORAGE/MERRIL;PAMR;MRI;&;61;13N;149;51W;41;X;A;7;US
ANGOON^SEAPLANE^;PAGN;&;&;57;30N;134;35W;2;X;8;US
ANIAK^^^^^^^^^^^;PANI;ANI;70232;61;35N;159;32W;26;X;7;US
ANNETTE^ISLAND^^;PANT;ANN;70398;55;02N;131;34W;36;X;X;A;5;US
ANVIK^^^^^^^^^^^;PANV;ANV;&;62;39N;160;11W;99;X;7;US
ARCTIC^VILLAGE^^;PARC;ARC;&;68;07N;145;35W;636;X;7;US
ATQASUK^BURNELL^;PATQ;ATK;&;70;28N;157;26W;29;X;7;US
ATKA^^^^^^^^^^^^;PAAK;AKA;&;52;13N;174;12W;17;X;7;US
BARROW^^^^^^^^^^;PABR;BRW;70026;71;17N;156;48W;7;X;T;X;A;5;US
BARROW^ARM-NSA^^;&;&;70027;71;19N;156;37W;7;X;8;US
BARTER^ISLAND^^^;PABA;BTI;70086;70;08N;143;35W;2;X;W;7;US
BETHEL^^^^^^^^^^;PABE;BET;70219;60;47N;161;51W;41;X;T;X;A;5;US
BETHEL/88D^^^^^^;PABC;ABC;&;60;48N;161;53W;49;X;8;US
