ABEE^AGDM^^^^^^^;CXAF;&;71285;54;17N;112;58W;664;X;8;CA
ANDREW^AGDM^^^^^;CXAG;&;71286;53;55N;112;17W;625;X;8;CA
ATMORE^AGDM^^^^^;CXAJ;&;71287;54;46N;112;49W;574;X;8;CA
BANFF^(MARS)^^^^;CWZG;WZG;&;51;12N;115;32W;1397;X;7;CA
BARNWELL^AGDM^^^;CXBW;&;71346;49;48N;112;18W;824;X;8;CA
BEAVERLODGE^^^^^;CWBM;&;71230;55;12N;119;24W;745;X;8;CA
BODO^AGDM^^^^^^^;CXBA;&;71214;52;07N;110;06W;687;X;8;CA
BOW^ISLAND^^^^^^;CWXL;WXL;71231;49;44N;111;27W;817;X;7;CA
BOW^VALLEY^^^^^^;CWXA;WXA;71232;51;04N;115;04W;1298;X;7;CA
BROCKET^AGDM^^^^;CXBR;&;71341;49;37N;113;49W;1073;X;8;CA
BROOKS^(AUTOB)^^;CWBO;WBO;71457;50;32N;111;50W;747;X;7;CA
CALGARY^INTNL^AR;CYYC;YYC;71877;51;07N;114;01W;1084;X;T;0;CA
CALGARY^INTL^^^^;CPCI;&;71393;51;07N;114;01W;1081;X;8;CA
CALGARY/SPRINGBA;CYBW;YBW;71860;51;06N;114;22W;1200;X;T;7;CA
CARDSTON^(AUT)^^;CWFJ;WFJ;71153;49;12N;113;16W;1136;X;7;CA
CHAMPION^AGDM^^^;CXCP;&;71217;50;17N;113;21W;1006;X;8;CA
CLARESHOLM^(AUTO;CWDK;WDK;71234;50;01N;113;37W;1012;X;7;CA
CLEARDALE^AGDM^^;CXCD;&;71221;56;19N;119;45W;630;X;8;CA
COLD^LAKE^(CAN^^;CYOD;YOD;71120;54;24N;110;17W;544;X;T;Z;6;CA
CONSORT^AGDM^^^^;CXCS;&;71223;51;56N;110;43W;772;X;8;CA
CORONATION(AUT)^;CWCT;WCT;&;52;04N;111;28W;791;X;7;CA
CROWSNEST^^^^^^^;CWRT;WRT;71236;49;37N;114;28W;1303;X;7;CA
DAPP^AGDM^^^^^^^;CXDP;&;71340;54;19N;113;57W;614;X;8;CA
DEL^BONITA^AGDM^;CXDB;&;71224;49;03N;112;49W;1310;X;8;CA
DRUMHELLER^EAST^;CWDZ;WDZ;&;51;25N;112;40W;678;X;7;CA
EDMONTON^INTL^AR;CYEG;YEG;71123;53;17N;113;34W;723;X;T;6;CA
EDMONTON^INTL^AR;CXEG;XEG;71155;53;18N;113;36W;715;X;7;CA
EDMONTON^MUNI^^^;CXEC;XEC;71157;53;34N;113;31W;671;X;7;CA
EDMONTON^MUNICIP;CYXD;YXD;71879;53;34N;113;31W;671;X;T;6;CA
EDMONTON/NAMAO(M;CYED;YED;71121;53;40N;113;28W;688;X;T;Z;6;CA
EDMONTON/STONY^P;CWSE;WSE;71119;53;32N;114;05W;766;X;8;CA
EDMONTON/STONY^P;CZED;ZED;71126;53;33N;114;06W;766;X;T;7;CA
EDMONTON/STONY^P;CXPS;&;&;53;33N;114;06W;766;X;8;CA
EDMONTON/VILLENU;CZVL;&;&;53;40N;113;51W;686;X;T;9;CA
EDSON^AIRPORT^^^;CYET;YET;71881;53;34N;116;28W;925;X;7;CA
EDSON^^^^^^^^^^^;CZZJ;&;71156;53;35N;116;28W;927;X;8;CA
ESTHER^1^^^^^^^^;CWGY;WGY;71240;51;40N;110;12W;707;X;7;CA
FAIRVIEW^AGDM^^^;CXFR;&;71347;56;05N;118;26W;655;X;8;CA
FOREMOST^AGDM^^^;CXFM;&;71225;49;29N;111;29W;881;X;8;CA
FORT^CHIPEWYAN^A;CYPY;YPY;71933;58;46N;111;07W;232;X;T;7;CA
FORT^MCMURRAY^AR;CYMM;YMM;71932;56;39N;111;13W;369;X;T;6;CA
FORT^MCMURRAY^AR;CXMM;XMM;71585;56;39N;111;13W;369;X;7;CA
FORT^VERMILLION^;CXFV;&;&;58;23N;116;02W;289;X;8;CA
GRANDE^PRAIRE^AR;CYQU;YQU;71940;55;11N;118;53W;669;X;T;6;CA
HIGH^LEVEL^AIRPO;CYOJ;YOJ;71066;58;37N;117;10W;338;X;T;6;CA
HIGH^PRAIRIE^AGD;CXHP;&;71226;55;24N;116;29W;602;X;8;CA
HIGHVALE^^^^^^^^;CWHA;WHA;71241;53;27N;114;28W;747;X;7;CA
HOLDEN^AGDM^^^^^;CXHD;&;71227;53;11N;112;15W;688;X;8;CA
HUSSAR^AGDM^^^^^;CXHR;&;71344;51;11N;112;30W;971;X;8;CA
JASPER^WARDEN^(A;CWJW;WJW;71486;52;56N;118;02W;1020;X;7;CA
KILLAM^AGDM^^^^^;CXKM;&;71228;52;49N;111;51W;675;X;8;CA
LAC^LA^BICHE^(MA;CWLB;WLB;71931;54;46N;112;01W;567;X;7;CA
LETHBRIDGE^VOR^^;CYQL;YQL;71874;49;38N;112;48W;929;X;U;6;CA
LLOYDMINSTER^ARP;CYLL;YLL;71871;53;19N;110;04W;669;X;T;6;CA
MANNING^AGDM^^^^;CXMG;&;71229;56;58N;117;27W;457;X;8;CA
MASINASIN^AGDM^^;CXMN;&;71345;49;07N;111;39W;947;X;8;CA
MEDICINE^HAT^^^^;CYXH;YXH;71872;50;01N;110;43W;716;X;U;6;CA
MEDICINE^HAT^^^^;CXMH;&;71026;50;02N;110;43W;717;X;8;CA
MILK^RIVER^^^^^^;CWRY;WRY;71244;49;07N;112;02W;1050;X;7;CA
MORRIN^AGDM^^^^^;CXMO;&;71257;51;40N;112;41W;836;X;8;CA
MUNDARE^AGDM^^^^;CZMU;&;71354;53;34N;112;18W;683;X;8;CA
NORDEGG^CS^^^^^^;CXND;&;&;52;28N;116;05W;1362;X;8;CA
OLDS^AGDM^^^^^^^;CXOL;&;71258;51;46N;114;05W;1046;X;8;CA
OLIVER^AGDM^^^^^;CZOL;&;71351;53;39N;113;21W;665;X;8;CA
OYEN^AGDM^^^^^^^;CXOY;&;71342;51;23N;110;21W;767;X;8;CA
ONEFOUR^(AUTOB)^;CWOE;WOE;71116;49;07N;110;28W;935;X;7;CA
PEACE^RIVER^AIRP;CYPE;YPE;71068;56;13N;117;27W;571;X;T;6;CA
PEORIA^AGDM^^^^^;CXPA;&;71348;55;37N;118;18W;621;X;8;CA
PINCHER^CREEK(M^;CZPC;ZPC;71875;49;31N;114;00W;1190;X;7;CA
POLLOCKVILLE^AGD;CXPL;&;71259;51;08N;111;42W;750;X;8;CA
PRAIRIE^RIVER^^^;CXPV;XPV;71593;58;27N;111;40W;213;X;7;CA
PRENTISS^^^^^^^^;CZPS;&;71353;52;26N;113;36W;965;X;8;CA
PRIMROSE^LAKE^^^;CWIQ;WIQ;71124;54;45N;110;02W;702;X;M;7;CA
PRIMROSE^LAKE^2^;CWOU;WOU;71127;54;46N;110;04W;606;X;7;CA
RED^DEER^AIRPORT;CYQF;YQF;71878;52;10N;113;54W;905;X;T;6;CA
RICH^LAKE^AGDM^^;CXRL;&;71349;54;30N;111;42W;585;X;8;CA
ROCKY^HOUSE^(MAR;CWRM;WRM;&;52;25N;114;55W;988;X;7;CA
SCHULER^AGDM^^^^;CXSC;&;71269;50;18N;110;05W;800;X;8;CA
SCHULER^RADAR^^^;CXBU;&;&;50;29N;110;12W;777;X;8;CA
SLAVE^LAKE^AIRPO;CYZH;YZH;71069;55;17N;114;46W;581;X;T;6;CA
SMOKY^LAKE^AGDM^;CXSL;&;71274;54;17N;112;30W;680;X;8;CA
SPIRIT^RIVER^^^^;CXSR;XSR;71571;55;42N;119;14W;1015;X;7;CA
STETTLER^AGDM^^^;CXAK;&;71289;52;21N;112;36W;795;X;8;CA
ST^PAUL^AGDM^^^^;CXSP;&;71275;54;01N;111;16W;649;X;8;CA
SUFFIELD^AIRPORT;CYSD;YSD;71128;50;16N;111;10W;770;X;7;CA
SUNDRE^^^^^^^^^^;CWAV;WAV;71248;51;46N;114;40W;1114;X;7;CA
THREE^HILLS^^^^^;CWHI;WHI;71249;51;42N;113;13W;907;X;7;CA
TURTLE^MTN^CS^^^;CWQA;&;71250;49;35N;114;25W;2164;X;8;CA
TWO^HILLS^AGDM^^;CXTH;&;71276;53;38N;111;41W;678;X;8;CA
VALLEYVIEW^AGDM^;CXVW;&;&;55;06N;117;12W;698;X;8;CA
VEGREVILLE^(AUTO;CWVI;&;71458;53;31N;112;06W;639;X;7;CA
VERMILION^AGDM^^;CXVM;&;&;53;21N;110;53W;623;X;8;CA
VILNA^AG^^^^^^^^;CPVI;&;71761;54;08N;111;55W;645;X;7;CA
WATERTON^PARK^GA;CWGM;WGM;71154;49;08N;113;47W;1296;X;7;CA
WHITECOURT^AIRPO;CYZU;YZU;71930;54;09N;115;47W;785;X;T;7;CA
WHITECOURT^AIRPO;CXZU;XZU;71256;54;09N;115;47W;785;X;7;CA
WRENTHAN^AGDM^^^;CXWM;&;71343;49;30N;112;07W;944;X;8;CA
YOHO^PARK^(AUTOB;CWYL;WYL;71786;51;27N;116;19W;1615;X;7;CA
BLOOD^TRIBE^AGDM;CPBT;&;71517;49;34N;113;03W;980;X;8;CA
ENCHANT^AGDM^^^^;CPEH;&;71518;50;11N;112;26W;801;X;8;CA
FINCASTLE^AGDM^^;CPFI;&;71535;49;48N;112;02W;833;X;8;CA
IRON^SPRINGS^^^^;CPIR;&;71528;49;54N;112;44W;858;X;8;CA
LETHBRIDGE^DEMO^;CPQL;&;71509;49;41N;112;45W;903;X;8;CA
ROSEMARY^AGDM^^^;CPRO;&;71537;50;50N;112;03W;714;X;8;CA
RAYMOND^AGDM^^^^;CPRY;&;71536;49;29N;112;41W;937;X;8;CA
STRATHMORE^AGDM^;CPST;&;71526;51;02N;113;17W;967;X;8;CA
SEVEN^PERSONS^^^;CPSV;&;71525;49;55N;110;55W;766;X;8;CA
BOW^ISLAND^AGDM^;CPXL;&;71519;49;52N;111;23W;799;X;8;CA
BANFF^(CWBA-old);&;&;71122;51;10N;115;34W;1383;Z;9;CA
