CONCORDIA/PIERRE;SAAC;&;87395;31;18S;058;01W;38;X;T;6;AR
GUALEGUAYCHU^ARP;SAAG;&;87497;33;00S;058;37W;21;X;7;AR
JUNIN^AIRPORT^^^;SAAJ;&;87548;34;32S;060;57W;81;X;7;AR
PARANA/GEN^URQUI;SAAP;&;87374;31;46S;060;28W;78;X;7;AR
ROSARIO^AIRPORT^;SAAR;&;87480;32;55S;060;46W;25;X;T;6;AR
VILLAGUAY^^^^^^^;SAAU;&;87385;31;51S;059;04W;43;X;7;AR
SAUCE^VIEJO^AIRP;SAAV;&;87371;31;41S;060;49W;18;X;T;6;AR
BUENOS^AIRES^(OB;SABA;&;87585;34;34S;058;28W;25;X;7;AR
AEROPARQUE(CIV/M;SABE;&;87582;34;34S;058;25W;6;X;T;6;AR
LA^CUMBRE^^^^^^^;SACC;&;&;31;00S;064;32W;1138;X;7;AR
PILAR^OBSERVATOR;SACI;&;87349;31;40S;063;52W;338;X;7;AR
CORDOBA^AIRPORT^;SACO;&;87344;31;19S;064;13W;474;X;T;6;AR
CHEPES^^^^^^^^^^;SACP;&;87322;31;19S;066;35W;658;X;7;AR
MONTE^QUEMADO^^^;SACQ;&;87071;25;45S;062;52W;220;X;7;AR
GOBERNADOR^GORDI;SACT;&;&;30;22S;066;17W;457;X;7;AR
VILLA^MARIA^DEL^;SACV;&;87244;29;53S;063;40W;341;X;7;AR
DON^TORCUATO^ARP;SADD;&;87568;34;28S;058;37W;4;X;T;6;AR
SAN^FERNANDO^^^^;SADF;&;&;34;27S;058;35W;4;X;T;8;AR
MARIANO^MORENO^^;SADJ;&;87572;34;34S;058;46W;28;X;7;AR
LA^PLATA^AIRPORT;SADL;&;87593;34;58S;057;53W;19;X;7;AR
BUENOS^AIRES/MOR;SADM;&;87574;34;40S;058;38W;30;X;7;AR
EL^PALOMAR^AIRPO;SADP;&;87571;34;36S;058;36W;12;X;7;AR
BUENOS^AIRES/EZE;SAEZ;&;87576;34;49S;058;31W;20;X;T;6;AR
MENDOZA/EL^PLUME;SAME;&;87418;32;49S;068;46W;704;X;T;6;AR
SAN^MARTIN^^^^^^;SAMI;&;87416;33;04S;068;25W;653;X;7;AR
JACHAL^^^^^^^^^^;SAMJ;&;87305;30;15S;068;45W;1165;X;7;AR
MALARGUE^AIRPORT;SAMM;&;87506;35;30S;069;34W;1425;X;7;AR
SAN^RAFAEL^AIRPO;SAMR;&;87509;34;34S;068;24W;748;X;7;AR
SAN^CARLOS^^^^^^;SAMS;&;87412;33;46S;069;01W;940;X;7;AR
USPALLATA^^^^^^^;SAMU;&;87405;32;36S;069;19W;1844;X;7;AR
CATAMARCA^AIRPOR;SANC;&;87222;28;36S;065;46W;454;X;7;AR
SANTIAGO^DEL^EST;SANE;&;87129;27;46S;064;17W;199;X;7;AR
TINOGASTA^^^^^^^;SANI;&;87211;28;04S;067;34W;1201;X;7;AR
LA^RIOJA/CAPT^VI;SANL;&;87217;29;22S;066;49W;429;X;7;AR
CHILECITO^^^^^^^;SANO;&;87214;29;13S;067;25W;950;X;7;AR
TUCUMAN/TENIENTE;SANT;&;87121;26;51S;065;05W;450;X;T;6;AR
SAN^JUAN^AIRPORT;SANU;&;87311;31;34S;068;25W;598;X;T;6;AR
CERES^^^^^^^^^^^;SANW;&;87257;29;52S;061;57W;88;X;7;AR
RIO^CUARTO^AIRPO;SAOC;&;87453;33;07S;064;16W;421;X;T;7;AR
VILLA^DOLORES^AR;SAOD;&;87328;31;56S;065;07W;569;X;7;AR
LABOULAYE^^^^^^^;SAOL;&;87534;34;07S;063;22W;137;X;7;AR
MARCOS^JUAREZ^AR;SAOM;&;87467;32;42S;062;08W;114;X;7;AR
VILLA^REYNOLDS^A;SAOR;&;87448;33;43S;065;22W;486;X;T;6;AR
SAN^LUIS^AIRPORT;SAOU;&;87436;33;16S;066;20W;702;X;7;AR
CORRIENTES^AIRPO;SARC;&;87166;27;26S;058;46W;62;X;T;6;AR
RESISTENCIA^AIRP;SARE;&;87155;27;26S;059;02W;52;X;T;6;AR
FORMOSA^AIRPORT^;SARF;&;87162;26;13S;058;13W;60;X;T;6;AR
IGUAZU/CATARATAS;SARI;&;87097;25;43S;054;28W;270;X;T;6;AR
PASO^DE^LOS^LIBR;SARL;&;87289;29;40S;057;08W;70;X;T;6;AR
MONTE^CASEROS^AR;SARM;&;87393;30;15S;057;38W;54;X;7;AR
POSADAS^AIRPORT^;SARP;&;87178;27;23S;055;58W;125;X;T;6;AR
PRESIDENT^R^S^PE;SARS;&;87149;26;49S;060;27W;92;X;7;AR
SALTA^AIRPORT^^^;SASA;&;87047;24;51S;065;28W;1216;X;T;X;5;AR
JUJUY^AIRPORT^^^;SASJ;&;87046;24;22S;065;06W;1167;X;T;6;AR
ORAN^AIRPORT^^^^;SASO;&;87016;23;08S;064;19W;357;X;7;AR
LA^QUIACA^OBSERV;SASQ;&;87007;22;06S;065;35W;3462;X;7;AR
RIVADAVIA^^^^^^^;SASR;&;87065;24;10S;062;53W;205;X;7;AR
TARTAGAL^AIRPORT;SAST;&;87022;22;38S;063;49W;450;X;7;AR
GOYA^^^^^^^^^^^^;SATG;&;&;29;06S;059;13W;38;X;7;AR
LAS^LOMITAS^^^^^;SATK;&;87078;24;41S;060;34W;130;X;7;AR
MERCEDES^^^^^^^^;SATM;&;&;29;13S;058;04W;107;X;7;AR
RECONQUISTA^^^^^;SATR;&;&;29;13S;059;41W;48;X;7;AR
CURUZU^CUATIA^AR;SATU;&;87286;29;46S;057;58W;73;X;7;AR
EL^BOLSON^AERO^^;SAVB;&;87800;41;58S;071;31W;337;X;7;AR
COMODORO^RIVADAV;SAVC;&;87860;45;46S;067;28W;46;X;T;6;AR
EL^MAITEN^^^^^^^;SAVD;&;&;42;01S;071;10W;720;X;7;AR
ESQUEL^AIRPORT^^;SAVE;&;87803;42;54S;071;09W;794;X;7;AR
SAN^ANTONIO^OEST;SAVO;&;87784;40;45S;065;02W;7;X;7;AR
PASO^DE^INDIOS^^;SAVP;&;87814;43;49S;068;52W;460;X;7;AR
ALTO^RIO^SENGUER;SAVR;&;&;45;01S;070;49W;697;X;7;AR
TRELEW/ALMIRANTE;SAVT;&;87828;43;12S;065;16W;43;X;T;6;AR
VIEDMA/CASTELLO^;SAVV;&;87791;40;51S;063;01W;7;X;7;AR
EL^TEHUELCHE^^^^;SAVY;&;&;42;46S;065;06W;136;X;7;AR
LAGO^ARGENTINO^A;SAWA;&;87903;50;19S;072;17W;220;X;7;AR
PUERTO^DESEADO^A;SAWD;&;87896;47;43S;065;55W;80;X;7;AR
RIO^GRANDE^AIRPO;SAWE;&;87934;53;47S;067;45W;22;X;T;6;AR
RIO^GALLEGOS^ARP;SAWG;&;87925;51;37S;069;19W;19;X;T;6;AR
USHUAIA^(ARG-NAV;SAWH;&;87938;54;51S;068;18W;14;X;T;7;AR
SAN^JULIAN^AIRPO;SAWJ;&;87909;49;19S;067;46W;62;X;7;AR
RIO^MAYO^^^^^^^^;SAWM;&;&;45;42S;070;15W;545;X;7;AR
PERITO^MORENO^AR;SAWP;&;87852;46;31S;071;01W;429;X;7;AR
GOBERNADOR^GREGO;SAWR;&;87880;48;46S;070;10W;356;X;7;AR
EL^TURBIO/RIO^TU;SAWT;&;&;51;36S;072;13W;273;X;T;7;AR
SANTA^CRUZ^AIRPO;SAWU;&;87912;50;01S;068;34W;111;X;7;AR
AZUL^AIRPORT^^^^;SAZA;&;87642;36;45S;059;49W;132;X;7;AR
BAHIA^BLANCA^(MI;SAZB;&;87750;38;43S;062;10W;83;X;T;6;AR
DOLORES^AIRPORT^;SAZD;&;87648;36;21S;057;43W;9;X;7;AR
PIGUE^AIRPORT^^^;SAZE;&;87679;37;36S;062;22W;304;X;7;AR
GENERAL^PICO^ARP;SAZG;&;87532;35;42S;063;45W;145;X;7;AR
TRES^ARROYOS^^^^;SAZH;&;87688;38;19S;060;15W;115;X;7;AR
BOLIVAR^^^^^^^^^;SAZI;&;87639;36;11S;061;05W;94;X;7;AR
MAR^DEL^PLATA^AR;SAZM;&;87692;37;55S;057;34W;21;X;T;6;AR
NEUQUEN^AIRPORT^;SAZN;&;87715;38;57S;068;09W;271;X;T;6;AR
NECOCHEA^AIRPORT;SAZO;&;87758;38;28S;058;49W;32;X;7;AR
PEHUAJO/CMDR^ZAN;SAZP;&;87544;35;52S;061;53W;86;X;7;AR
RIO^COLORADO^^^^;SAZQ;&;87736;39;01S;064;04W;79;X;7;AR
SANTA^ROSA^AIRPO;SAZR;&;87623;36;34S;064;16W;191;X;7;AR
SAN^CARLOS^BARIL;SAZS;&;87765;41;08S;071;10W;840;X;T;6;AR
TANDIL^AIRPORT^^;SAZT;&;87645;37;13S;059;15W;175;X;7;AR
VILLA^GESELL^^^^;SAZV;&;87663;37;13S;057;01W;7;X;7;AR
CHAPELCO^^^^^^^^;SAZY;&;87761;40;04S;071;07W;779;X;7;AR
