ALBANY^AIRPORT^^;YABA;&;94802;34;56S;117;48E;69;X;7;AU
AMBERLEY^^^^^^^^;YAMB;&;&;27;38S;152;43E;28;X;T;8;AU
ARGYLE^AERO^^^^^;YARG;&;94217;16;38S;128;27E;165;X;7;AU
AYERS^ROCK^^^^^^;YAYE;&;&;25;11S;130;59E;496;X;8;AU
ARCHEFIELD/BRISB;YBAF;&;94575;27;34S;153;00E;18;X;7;AU
AMBERLEY^(AUS-AF;YBAM;&;94568;27;37S;152;43E;31;X;7;AU
ALICE^SPRINGS^AR;YBAS;&;94326;23;48S;133;54E;541;X;T;6;AU
BRISBANE^INTL^AR;YBBN;&;94578;27;23S;153;08E;5;X;T;6;AU
COOLANGATTA^AWS^;YBCG;&;94592;28;10S;153;30E;6;X;T;6;AU
CAIRNS^AIRPORT^^;YBCS;&;94287;16;52S;145;45E;7;X;T;6;AU
CHARLEVILLE^ARPT;YBCV;&;94510;26;23S;146;16E;304;X;7;AU
BIRDSVILLE^^^^^^;YBDV;&;95482;25;54S;139;21E;47;X;8;AU
GLADSTONE^^^^^^^;YBGL;&;94380;23;51S;151;15E;76;X;7;AU
BROKEN^HILL^^^^^;YBHI;&;94691;32;00S;141;28E;292;X;8;AU
HAMILTON^ISLAND^;YBHM;&;&;20;21S;148;57E;5;X;T;7;AU
LONGREACH^AIRPOR;YBLR;&;94346;23;25S;144;16E;193;X;7;AU
MOUNT^ISA^AIRPOR;YBMA;&;94332;20;40S;139;28E;344;X;T;7;AU
MACKAY^^^^^^^^^^;YBMK;&;94367;21;07S;149;13E;31;X;7;AU
BALLINA^BYRON^G.;YBNA;&;94596;28;50S;153;34E;2;X;8;AU
OAKEY^(ARMY/CIV);YBOK;&;94552;27;25S;151;43E;407;X;7;AU
PROSPERINE^AIRPO;YBPN;&;94365;20;30S;148;33E;25;X;7;AU
ROCKHAMPTON^AIRP;YBRK;&;94374;23;22S;150;28E;14;X;T;6;AU
BROOME^AIRPORT^^;YBRM;&;94203;17;56S;122;13E;9;X;T;6;AU
TOWNSVILLE(CIV/M;YBTL;&;94294;19;15S;146;45E;6;X;T;6;AU
BUNDABERG^^^^^^^;YBUD;&;94387;24;54S;152;19E;82;X;8;AU
WEIPA^^^^^^^^^^^;&;&;94170;12;41S;141;55E;58;X;8;AU
WEIPA^CITY^^^^^^;YBWP;&;94171;12;37S;141;52E;12;X;7;AU
BARROW^ISLAND^^^;YBWX;&;94304;20;53S;115;24E;6;X;8;AU
CARNARVON^^^^^^^;YCAR;&;94300;24;53S;113;40E;8;X;8;AU
CASINO^AIRPORT^^;YCAS;&;94573;28;53S;153;04E;26;X;8;AU
COBAR^AIRPORT^^^;YCBA;&;94710;31;32S;145;48E;221;X;8;AU
COONABARABRAN^^^;YCBB;&;95728;31;20S;149;16E;645;X;8;AU
COOBER^PEDY^^^^^;YCBP;&;95458;29;02S;134;43E;226;X;8;AU
CLONCURRY^^^^^^^;YCCY;&;94335;20;40S;140;30E;570;X;8;AU
CEDUNA^AIRPORT^^;YCDU;&;94653;32;07S;133;42E;15;X;7;AU
COONAMBLE^^^^^^^;YCNM;&;95718;30;59S;148;23E;184;X;7;AU
COFFS^HARBOUR^^^;YCFS;&;94791;30;19S;153;07E;5;X;T;8;AU
CURTIN/DERBY^^^^;YCIN;&;94204;17;34S;123;50E;91;X;T;7;AU
COOMA^SNOWY^MTNS;YCOM;&;94921;36;18S;148;58E;941;X;7;AU
DERBY^^^^^^^^^^^;YDBY;&;94205;17;22S;123;40E;7;X;7;AU
GOVE^AIRPORT^^^^;YDGV;&;94150;12;16S;136;49E;54;X;7;AU
TENNANT^CREEK^AR;YDTC;&;94238;19;37S;134;10E;376;X;7;AU
YULARA^AWS^^^^^^;YDYL;&;94462;25;10S;130;58E;493;X;7;AU
EMERALD^ARPT^^^^;YEML;&;94363;24;34S;148;11E;190;X;7;AU
ESPERANCE^ARPT^^;YESP;&;95638;33;41S;121;49E;143;X;7;AU
FORREST^^^^^^^^^;YFRT;&;&;30;50S;128;07E;156;X;T;7;AU
GERALDTON^^^^^^^;YGEL;&;&;28;48S;114;42E;37;X;T;8;AU
GRAFTON^ARPT^^^^;YGFN;&;95570;29;46S;153;02E;34;X;8;AU
GLADSTONE^^^^^^^;YGLA;&;94381;23;52S;151;13E;52;X;8;AU
GROOTE^EYLANDT^^;YGTE;&;94153;13;58S;136;27E;14;X;8;AU
GRIFFITH^ARPT^^^;YGTH;&;95704;34;15S;146;04E;134;X;8;AU
HORN^ISLAND^^^^^;YHID;&;&;10;35S;142;18E;13;X;T;8;AU
HUGHENDEN^ARPT^^;YHUG;&;94343;20;49S;144;14E;318;X;8;AU
KINGAROY^ARPT^^^;YKRY;&;94549;26;34S;151;50E;434;X;8;AU
LEIGH^CREEK^^^^^;YLEC;&;&;30;36S;138;26E;262;X;7;AU
LORD^HOME^ISLAND;YLHI;&;&;31;32S;159;05E;12;X;7;AU
LISMORE^ARPT^^^^;YLIS;&;94572;28;50S;153;16E;11;X;7;AU
