ADDIS^ABABA/BOLE;HAAB;&;63450;08;58N;038;47E;2355;X;T;6;ET
AGORDAT^^^^^^^^^;HAAG;&;&;15;33N;037;52E;626;X;7;ET
ARBA^MINCH^^^^^^;HAAM;&;63500;06;04N;037;40E;1219;X;7;ET
AWASH^^^^^^^^^^^;HAAW;&;&;08;58N;040;10E;1052;X;7;ET
AXUM^^^^^^^^^^^^;HAAX;&;&;14;07N;038;43E;2134;X;7;ET
ASMARA/YOHANNES^;HAAY;&;63021;15;16N;038;55E;2325;X;7;ET
ASMARA/YOHANNES^;HHAS;&;&;15;16N;038;55E;2356;X;T;7;ET
BACO/BAKO^^^^^^^;HABC;&;&;05;49N;036;37E;1311;X;7;ET
BAHAR^DAR^^^^^^^;HABD;&;63332;11;36N;037;19E;1822;X;7;ET
COMBOLCHA/DESSIE;HADC;&;63333;11;04N;039;43E;1864;X;7;ET
DEBRE^MARCOS^^^^;HADM;&;63334;10;20N;037;43E;2476;X;7;ET
DIRE^DAWA^(MIL/C;HADR;&;63471;09;35N;041;52E;1146;X;T;6;ET
GHINNIR/GINIR^^^;HAGH;&;&;07;09N;040;43E;1844;X;7;ET
GONDAR^^^^^^^^^^;HAGN;&;63331;12;31N;037;25E;1985;X;7;ET
GODE^(MIL)^^^^^^;HAGO;&;63478;05;56N;043;34E;320;X;7;ET
GORE^^^^^^^^^^^^;HAGR;&;63403;08;10N;035;32E;1974;X;7;ET
HARAR^MEDA^(MIL);HAHM;&;63451;08;43N;039;00E;1876;X;7;ET
JIJIGA^(MIL)^^^^;HAJJ;&;63473;09;19N;042;43E;1644;X;7;ET
JIMMA^^^^^^^^^^^;HAJM;&;63402;07;40N;036;49E;1676;X;7;ET
KABRE^DARE^(MIL);HAKD;&;&;06;45N;044;16E;550;X;7;ET
AWASSA^(LAKE)^^^;HALA;&;63460;07;04N;038;30E;1652;X;7;ET
MAKALE/MEQELE^^^;HAMK;&;63330;13;28N;039;32E;2255;X;7;ET
MASSLO/MESLO^^^^;HAML;&;&;06;22N;039;49E;2274;X;7;ET
MASSAWA^^^^^^^^^;HAMS;&;63023;15;37N;039;27E;10;X;7;ET
NEGHELLI^(MIL)^^;HANG;&;63533;05;16N;039;45E;1455;X;7;ET
ASSAB^^^^^^^^^^^;HASB;&;63043;13;04N;042;43E;14;X;7;ET
ASSOSA/ASOSA^^^^;HASO;&;&;10;01N;034;31E;1733;X;7;ET
TESSENEI/TESENEY;HATS;&;&;15;07N;036;40E;615;X;7;ET
