ALTON/ST^LOUIS^R;KALN;ALN;&;38;53N;090;02W;166;X;7;US
BLOOMINGTON/NORM;KBMI;BMI;&;40;28N;088;55W;267;X;T;7;US
BRADFORD/VOR^^^^;KBDF;BDF;&;41;09N;089;35W;247;V;8;US
CAHOKIA/ST^LOUIS;KCPS;CPS;&;38;34N;090;09W;126;X;T;A;7;US
CAIRO^^^^^^^^^^^;KCIR;CIR;&;37;04N;089;13W;98;X;W;8;US
CARBONDALE/MURPH;KMDH;MDH;&;37;47N;089;15W;130;X;A;7;US
CARMI^MUNI^^^^^^;KCUL;&;&;38;05N;088;07W;118;X;W;7;US
CENTRALIA^^^^^^^;KENL;ENL;&;38;31N;089;06W;163;X;W;7;US
CHAMPAIGN/URBANA;KCMI;CMI;&;40;02N;088;16W;228;X;T;A;6;US
CHICAGO^^^^^^^^^;KMDW;MDW;72534;41;47N;087;45W;188;X;T;A;1;US
CHICAGO^O'HARE^^;KORD;ORD;72530;41;59N;087;56W;200;X;U;A;0;US
CHICAGO/AURORA^^;KARR;ARR;74465;41;46N;088;29W;215;X;A;7;US
CHICAGO/DUPAGE^^;KDPA;DPA;&;41;55N;088;15W;231;X;T;A;6;US
CHICAGO/MEIGS^^^;KCGX;CGX;&;41;52N;087;35W;181;X;7;US
CHICAGO/LANSING^;KIGQ;IGQ;&;41;32N;087;32W;188;X;W;7;US
CHICAGO/ARTCC^^^;KZAU;ZAU;&;41;47N;088;20W;213;A;8;US
DANVILLE^^^^^^^^;KDNV;DNV;&;40;12N;087;36W;212;X;W;7;US
DECATUR^^^^^^^^^;KDEC;DEC;&;39;50N;088;51W;207;X;U;A;4;US
DECATUR^^^^^^^^^;KAXC;AXC;&;39;50N;088;51W;207;U;8;US
DE^KALB^^^^^^^^^;KDKB;DKB;&;41;56N;088;42W;279;X;W;7;US
DIXON^^^^^^^^^^^;KC73;C73;&;41;50N;089;27W;240;X;W;7;US
EFFINGHAM^^^^^^^;K1H2;1H2;&;39;04N;088;32W;179;X;W;7;US
FAIRFIELD^^^^^^^;KFWC;FWC;&;38;23N;088;25W;133;X;W;7;US
FREEPORT^^^^^^^^;KFEP;FEP;&;42;15N;089;35W;262;X;W;7;US
FLORA^^^^^^^^^^^;KFOA;FOA;&;38;40N;088;27W;144;X;W;7;US
GALESBURG^^^^^^^;KGBG;GBG;&;40;56N;090;26W;233;X;W;7;US
GREENVILLE^^^^^^;KGRE;GRE;&;38;50N;089;23W;165;X;W;8;US
HARRISBURG^^^^^^;KHSB;HSB;&;37;49N;088;33W;121;X;W;7;US
JACKSONVILLE^^^^;KIJX;IJX;&;39;46N;090;15W;190;X;W;7;US
JOLIET^^^^^^^^^^;KJOT;JOT;&;41;31N;088;11W;177;X;V;W;6;US
KANKAKEE^^^^^^^^;KIKK;IKK;&;41;04N;087;51W;192;X;W;7;US
LACON^^^^^^^^^^^;KC75;C75;&;41;01N;089;23W;173;X;W;7;US
LAWRENCEVILLE^^^;KLWV;LWV;&;38;46N;087;36W;131;X;A;7;US
LINCOLN^^^^^^^^^;KILX;ILX;74560;40;09N;089;20W;177;X;X;F;8;US
LINCOLN^^^^^^^^^;KAAA;AAA;&;40;10N;089;20W;182;X;W;7;US
LITCHFIELD^MUNI^;K3LF;3LF;&;39;10N;089;40W;210;X;W;8;US
MACOMB^MUNI^^^^^;KMQB;MQB;&;40;31N;090;39W;215;X;W;7;US
MARION^REGIONAL^;KMWA;MWA;&;37;46N;089;01W;144;X;7;US
MARSEILLES^^^^^^;KMMO;MMO;74460;41;22N;088;40W;225;X;M;7;US
MATTOON/CHARLEST;KMTO;MTO;&;39;28N;088;16W;214;X;A;7;US
METROPOLIS^^^^^^;KM30;M30;&;37;11N;088;45W;117;X;W;7;US
MOLINE/QUAD^CITY;KMLI;MLI;72544;41;27N;090;31W;184;X;T;A;6;US
MONEE^^^^^^^^^^^;KC56;C56;&;41;23N;087;41W;241;X;W;7;US
MORRIS-WASHBURN^;KC09;C09;&;41;26N;088;25W;178;X;W;7;US
MOUNT^CARMEL^^^^;KAJG;AJG;&;38;37N;087;44W;131;X;W;7;US
MOUNT^STERLING^^;KI63;I63;&;39;59N;090;48W;224;X;7;US
MOUNT^VERNON^^^^;KMVN;MVN;&;38;19N;088;52W;146;X;W;7;US
OLNEY-NOBLE^^^^^;KOLY;OLY;&;38;43N;088;11W;147;X;W;7;US
PALWAUKEE^^^^^^^;KPWK;PWK;&;42;07N;087;54W;203;X;A;7;US
PEORIA^^^^^^^^^^;KPIA;PIA;72532;40;40N;089;41W;205;X;T;A;4;US
PARIS^^^^^^^^^^^;KPRG;PRG;&;39;42N;087;40W;199;X;W;7;US
PERU^^^^^^^^^^^^;KVYS;VYS;&;41;21N;089;09W;199;X;W;7;US
PITTSFIELD^^^^^^;KPPQ;PPQ;&;39;38N;090;47W;216;X;W;7;US
PONTIAC^^^^^^^^^;KPNT;PNT;&;40;55N;088;37W;201;X;W;7;US
QUINCY^MUNI/BALD;KUIN;UIN;&;39;57N;091;12W;234;X;U;A;6;US
RANTOUL^^^^^^^^^;KTIP;TIP;&;40;17N;088;09W;225;X;W;7;US
ROBINSON^MUNI^^^;KRSV;RSV;&;39;01N;087;39W;141;X;W;7;US
ROCKFORD^^^^^^^^;KRFD;RFD;72543;42;12N;089;06W;221;X;T;A;4;US
ROCHELLE/KORITZ^;KRPJ;RPJ;&;41;53N;089;05W;238;X;W;7;US
ROMEOVILLE/CHI^^;KLOT;LOT;&;41;36N;088;06W;205;X;X;W;F;5;US
SALEM/LECKRONE^^;KSLO;SLO;&;38;39N;088;58W;175;X;W;7;US
SAVANNA/TRITOWN^;KSFY;SFY;&;42;03N;090;07W;188;X;W;7;US
