ALGONA^^^^^^^^^^;KAXA;AXA;&;43;04N;094;16W;372;X;W;8;US
AMES^^^^^^^^^^^^;KAMW;AMW;&;41;59N;093;37W;279;X;A;7;US
ANKENY^^^^^^^^^^;KIKV;IKV;&;41;41N;093;34W;275;X;W;8;US
ATLANTIC^^^^^^^^;KAIO;AIO;&;41;23N;095;02W;360;X;W;8;US
AUDUBON^^^^^^^^^;KADU;ADU;&;41;42N;094;55W;392;X;W;8;US
BOONE^MUNI^^^^^^;KBNW;BNW;&;42;02N;093;50W;354;X;W;8;US
BURLINGTON^^^^^^;KBRL;BRL;&;40;46N;091;08W;211;X;T;A;6;US
CARROLL^^^^^^^^^;KCIN;CIN;&;42;02N;094;46W;375;X;W;8;US
CEDAR^RAPIDS^^^^;KCID;CID;72545;41;53N;091;43W;264;X;T;A;4;US
CENTERVILLE^MUNI;KTVK;TVK;&;40;41N;092;54W;314;X;8;US
CHARITON^^^^^^^^;KCNC;CNC;&;41;01N;093;22W;320;X;W;8;US
CHARLES^CITY^^^^;KCCY;CCY;&;43;04N;092;37W;343;X;W;8;US
CHEROKEE^^^^^^^^;KCKP;CKP;&;42;44N;095;33W;374;X;W;8;US
CLARINDA^^^^^^^^;KICL;ICL;&;40;43N;095;01W;303;X;W;8;US
CLARION^^^^^^^^^;KCAV;CAV;&;42;45N;093;46W;354;X;W;8;US
CLINTON^MUNI^^^^;KCWI;CWI;&;41;49N;090;19W;216;X;W;8;US
COUNCIL^BLUFFS^^;KCBF;CBF;&;41;16N;095;46W;382;X;W;8;US
CRESTON^^^^^^^^^;KCSQ;CSQ;&;41;01N;094;22W;394;X;W;8;US
DAVENPORT/QUAD^C;KDVN;DVN;74455;41;37N;090;35W;230;X;X;X;A;F;3;US
DECORAH^^^^^^^^^;KDEH;DEH;&;43;16N;091;43W;353;X;W;8;US
DENISON^^^^^^^^^;KDNS;DNS;&;41;58N;095;22W;388;X;W;8;US
DES^MOINES^^^^^^;KDSM;DSM;72546;41;32N;093;40W;295;X;U;A;2;US
DUBUQUE^^^^^^^^^;KDBQ;DBQ;72547;42;24N;090;42W;326;X;U;A;4;US
ESTHERVILLE^^^^^;KEST;EST;&;43;24N;094;45W;401;X;A;7;US
FAIRFIELD^^^^^^^;KFFL;FFL;&;41;02N;091;58W;244;X;W;8;US
FOREST^CITY^^^^^;KFXY;FXY;&;43;14N;093;37W;375;X;8;US
FORT^DODGE^^^^^^;KFOD;FOD;72549;42;32N;094;10W;355;X;U;W;6;US
FORT^MADISON^^^^;KFSW;FSW;&;40;40N;091;19W;221;X;W;8;US
GRINNELL^REG^^^^;KGGI;GGI;&;41;43N;092;44W;307;X;W;8;US
HARLAN^MUNI^^^^^;KHNR;HNR;&;41;35N;095;20W;375;X;W;8;US
INDEPENDENCE^^^^;KIIB;IIB;&;42;27N;091;57W;298;X;W;8;US
IOWA^CITY^^^^^^^;KIOW;IOW;&;41;38N;091;33W;198;X;V;A;6;US
IOWA^FALLS^MUNI^;KIFA;IFA;&;42;28N;093;16W;347;X;W;7;US
JOHNSTON/DESMOIN;KDMX;DMX;&;41;44N;093;43W;299;X;F;8;US
KEOKUK^MUNI^^^^^;KEOK;EOK;&;40;28N;091;25W;205;X;W;8;US
KNOXVILLE^^^^^^^;KOXV;OXV;&;41;17N;093;07W;283;X;W;8;US
LAMONI^^^^^^^^^^;KLWD;LWD;&;40;38N;093;54W;346;X;A;7;US
LAMONI^^^^^^^^^^;KLMN;LMN;&;40;36N;093;58W;348;V;8;US
LE^MARS^^^^^^^^^;KLRJ;LRJ;&;42;46N;096;12W;365;X;W;8;US
MARSHALLTOWN^^^^;KMIW;MIW;&;42;07N;092;55W;296;X;A;7;US
MASON^CITY^^^^^^;KMCW;MCW;&;43;09N;093;20W;369;X;U;A;6;US
MONTICELLO^MUNI^;KMXO;MXO;&;42;13N;091;10W;259;X;W;8;US
MT^PLEASANT^^^^^;KMPZ;MPZ;&;40;57N;091;31W;224;X;W;8;US
MUSCATINE^^^^^^^;KMUT;MUT;&;41;22N;091;09W;167;X;W;8;US
NEWTON^MUNI^^^^^;KTNU;TNU;&;41;40N;093;01W;290;X;W;8;US
OELWEN^^^^^^^^^^;KOLZ;OLZ;&;42;40N;091;58W;328;X;W;8;US
ORANGE^CITY^^^^^;KORC;ORC;&;42;58N;096;04W;431;X;W;8;US
OSCEOLA^MUNI^^^^;KI75;I75;&;41;03N;093;41W;339;X;8;US
OSKALOOSA^MUNI^^;KOOA;OOA;&;41;14N;092;30W;256;X;W;8;US
OTTUMWA^^^^^^^^^;KOTM;OTM;&;41;06N;092;27W;256;X;T;A;6;US
PELLA^^^^^^^^^^^;KPEA;PEA;&;41;24N;092;57W;270;X;W;8;US
PERRY^MUNI^^^^^^;KPRO;PRO;&;41;50N;094;10W;308;X;W;8;US
RED^OAK^^^^^^^^^;KRDK;RDK;&;41;01N;095;16W;318;X;W;8;US
SHELDON^^^^^^^^^;KSHL;SHL;&;43;13N;095;49W;432;X;W;8;US
SHENANDOAH^MUNI^;KSDA;SDA;&;40;45N;095;25W;296;X;W;8;US
SIOUX^CITY^^^^^^;KSUX;SUX;72557;42;23N;096;23W;338;X;T;A;3;US
SLATER^PROFILER^;&;SLA;74449;41;53N;093;41W;315;W;8;US
SPENCER^^^^^^^^^;KSPW;SPW;72650;43;10N;095;13W;403;X;S;A;6;US
STORM^LAKE^^^^^^;KSLB;SLB;&;42;36N;095;13W;454;X;W;8;US
VINTON^^^^^^^^^^;KVTI;VTI;&;42;13N;092;01W;255;X;W;8;US
