ACAPULCO/G.^ALVA;MMAA;ACA;&;16;45N;099;45W;5;X;T;3;MX
ACAPULCO/G.^ALVA;&;&;76805;16;50N;099;56W;3;X;8;MX
AGUASCALIENTES^^;MMAS;AGU;76571;21;42N;102;19W;1863;X;T;6;MX
BAHIAS^DE^HUATUL;MMBT;HUX;&;15;46N;096;16W;143;X;T;6;MX
CAMPECHE/IGNACIO;MMCP;CPE;76695;19;49N;090;30W;5;X;T;Z;6;MX
CANCUN^^^^^^^^^^;MMUN;CUN;76595;21;01N;086;51W;10;X;T;X;1;MX
CHETUMAL^^^^^^^^;MMCM;CTM;76750;18;30N;088;20W;12;X;T;6;MX
CHIHUAHUA^INTL^A;MMCU;CUU;76225;28;42N;105;58W;1372;X;T;X;1;MX
CIUDAD^DEL^CARM^;MMCE;CME;&;18;39N;091;48W;2;X;T;6;MX
CIUDAD^JUAREZ^IN;MMCS;CJS;&;31;37N;106;25W;1171;X;T;6;MX
CHICHEN^ITZA^YU^;MMCT;MCT;&;20;38N;088;27W;28;X;8;MX
CIUDAD^OBREGON^^;MMCN;CEN;&;27;24N;109;50W;43;X;T;6;MX
CIUDAD^VICTORIA^;MMCV;CVM;76491;23;43N;098;58W;238;X;T;6;MX
COLIMA^^^^^^^^^^;MMIA;IMA;76658;19;16N;103;34W;723;X;T;6;MX
COZUMEL^(CIV/MIL;MMCZ;CZM;76648;20;31N;086;55W;5;X;T;6;MX
CUERNAVACA^^^^^^;MMCB;CVJ;76726;18;50N;099;16W;1560;X;T;7;MX
CULIACAN^(CITY)^;MMCL;CUL;76412;24;46N;107;28W;39;X;T;6;MX
DEL^BAJIO/LEON^^;MMLO;LEO;76752;21;00N;101;28W;1819;X;T;6;MX
GUADALAJARA^^^^^;MMGL;GDL;&;20;31N;103;19W;1528;X;T;5;MX
GUADALAJARA^^^^^;&;&;76612;20;40N;103;23W;1551;X;8;MX
DURANGO^AIRPORT^;MMDO;DGO;76423;24;07N;104;31W;1857;X;T;1;MX
GUAYMAS^INTL^ARP;MMGM;GYM;&;27;57N;110;55W;20;X;T;5;MX
EMPALME^^^^^^^^^;&;&;76256;27;57N;110;46W;12;X;8;MX
HERMOSILLO^INTL^;MMHO;HMO;76160;29;05N;111;03W;184;X;T;6;MX
ISLA^GUADALUPE^^;MMGD;GUD;76151;29;10N;118;19W;25;X;8;MX
ISLA^SOCORRO^^^^;MMSC;SOC;76723;18;43N;110;57W;35;X;8;MX
IXTAPA^ZIHUATANE;MMZH;ZIH;&;17;36N;101;28W;6;X;T;6;MX
IXTEPEC^OX^^^^^^;MMIT;MIT;&;16;27N;095;05W;61;X;7;MX
LA^PAZ^INTL^AIRP;MMLP;LAP;&;24;04N;110;22W;21;X;T;1;MX
LA^PAZ^^^^^^^^^^;&;&;76405;24;10N;110;18W;18;X;8;MX
LORETO^^^^^^^^^^;MMLT;LTO;76305;26;01N;111;20W;15;X;T;6;MX
LOS^MOCHIS^AIRPO;MMLM;LMM;&;25;40N;109;04W;4;X;T;6;MX
MANZANILLO^INTL^;MMZO;ZLO;&;19;08N;104;34W;8;X;T;5;MX
MANZANILLO^^^^^^;&;&;76654;19;03N;104;19W;3;X;8;MX
MATAMOROS^INTL^^;MMMA;MAM;&;25;46N;097;31W;8;X;T;6;MX
