AKLAVIK^AIRPORT^;CYKD;YKD;&;68;13N;135;00W;7;X;7;CA
CAPE^PARRY^AUTO4;CZCP;&;&;70;10N;124;43W;93;X;7;CA
COLVILLE^LAKE^^^;CYVL;&;&;67;01N;126;08W;259;X;7;CA
DEADMAN^VALLEY^^;CXDK;&;71021;61;16N;124;28W;283;X;8;CA
DELINE^^^^^^^^^^;CXDE;XDE;71503;65;13N;123;26W;213;X;7;CA
EKATI^(PWS)^^^^^;CYOA;YOA;&;64;42N;110;37W;469;X;T;6;CA
FORT^FRANKLIN^AR;CYWJ;YWJ;&;65;13N;123;26W;176;X;T;7;CA
FORT^GOOD^HOPE^A;CYGH;YGH;&;66;16N;128;37W;66;X;T;7;CA
FORT^LIARD^AIRPO;CYJF;YJF;&;60;13N;123;28W;215;X;7;CA
FORT^MCPHERSON^A;CZFM;ZFM;&;67;24N;134;52W;43;X;T;6;CA
FORT^NORMAN^AIRP;CZFN;ZFN;&;64;55N;125;34W;98;X;7;CA
FORT^PROVIDENCE^;CWID;WID;71087;61;19N;117;36W;161;X;7;CA
FORT^RESOLUTION^;CYFR;YFR;&;61;10N;113;40W;164;X;7;CA
FORT^SIMPSON^ARP;CYFS;YFS;71946;61;45N;121;13W;169;X;T;6;CA
FT^SIMPSON^71681;CXFS;&;&;61;45N;121;14W;169;Z;8;CA
FORT^SIMPSON^^^^;CZFS;&;71365;61;46N;121;14W;168;X;8;CA
FORT^SMITH^AIRPO;CYSM;YSM;71934;60;02N;111;58W;203;X;T;X;5;CA
FORT^SMITH^^^^^^;CZSM;&;71362;60;02N;111;56W;203;X;8;CA
GATESHEAD^ISLAND;CNGH;&;71141;70;38N;100;16W;20;X;8;CA
HAY^RIVER^AIRPOR;CYHY;YHY;71935;60;49N;115;46W;166;X;T;6;CA
HAY^RIVER^^^^^^^;CZHY;&;71361;60;50N;115;47W;164;X;8;CA
HANBURY^RIVER^^^;CWQY;&;71963;63;36N;105;08W;318;X;8;CA
HOLMAN^ISLAND^AR;CYHI;YHI;&;70;46N;117;47W;36;X;T;6;CA
HOLMAN^CS^^^^^^^;CXHI;&;71029;70;46N;117;48W;30;X;8;CA
INDIAN^RIVER^^^^;CWIE;WIE;71161;64;23N;115;01W;478;X;7;CA
INUVIK^AIRPORT^^;CYEV;YEV;71957;68;19N;133;30W;68;X;T;X;5;CA
INUVIK^^^^^^^^^^;CZEV;&;71364;68;19N;133;31W;103;X;8;CA
JEAN^MARIER^^^^^;CXJM;&;71159;61;21N;120;47W;227;X;8;CA
KEATS^POINT^^^^^;CWKP;&;71058;69;40N;121;40W;330;X;8;CA
LAC^LA^MARTRE^^^;CWMT;&;71163;63;08N;117;15W;271;X;8;CA
LINDBERG^LANDING;CXLL;&;71682;61;07N;122;51W;183;X;7;CA
LIVERPOOL^BAY^^^;CWLI;WLI;71960;69;35N;130;54W;102;X;7;CA
LOWER^CARP^LAKE^;CXLC;XLC;71680;63;36N;113;51W;373;X;7;CA
LUTSEL^KE^ARPT^(;CYLK;YLK;&;62;25N;110;40W;179;X;T;7;CA
LUTSEL^KE^CS^^^^;CXLU;&;71529;62;25N;110;40W;179;X;7;CA
MOULD^BAY^^^^^^^;CYMD;YMD;71072;76;13N;119;19W;12;X;Z;7;CA
MOULD^BAY^CAMP^^;CWMD;WMD;&;76;13N;119;19W;12;X;7;CA
NORMAN^WELLS^ARP;CYVQ;YVQ;71043;65;16N;126;47W;74;X;T;X;5;CA
PAULATUK^AIRPORT;CYPC;YPC;&;69;22N;124;04W;6;X;T;6;CA
PELLY^ISLAND^^^^;CWND;&;71502;69;38N;135;26W;12;X;8;CA
QAVVIK^LAKE^^^^^;CXQA;&;71583;68;15N;122;06W;530;X;7;CA
RAE^LAKES^^^^^^^;CYRA;YRA;&;64;07N;117;19W;213;X;T;7;CA
RAE^LAKES^^^^^^^;CWYH;&;71165;64;07N;117;22W;220;X;7;CA
ROBERTSON^LAKE^^;CWTD;&;71490;65;06N;102;26W;244;X;8;CA
SACHS^HARBOUR(M^;CYSY;YSY;71051;72;00N;125;16W;86;X;T;6;CA
TRAIL^VALLEY^^^^;CXTV;XTV;71683;68;45N;133;30W;85;X;7;CA
TUKTOYAKTUK^^^^^;CYUB;YUB;71954;69;27N;133;01W;5;X;T;Z;6;CA
TUKTUT^NOGAIT^NP;CXTN;XTN;71492;69;12N;122;21W;552;X;7;CA
WEKWEETI^^^^^^^^;CYWE;&;&;64;11N;114;05W;371;X;T;7;CA
WRIGLEY^AIRPORT^;CYWY;YWY;&;63;13N;123;25W;150;X;7;CA
YELLOWKNIFE^AIRP;CYZF;YZF;71936;62;28N;114;27W;206;X;T;6;CA
YOHIN^^^^^^^^^^^;CXYH;&;71020;61;15N;123;45W;204;X;8;CA
CANADA/ARTCC^^^^;CZVE;ZVE;&;70;10N;124;41W;1;A;8;CA
