ALERT^^^^^^^^^^^;CWLT;WLT;71082;82;30N;062;19W;63;X;X;5;CA
ALERT^AIRPORT^^^;CYLT;YLT;&;82;31N;062;16W;31;X;T;6;CA
ALERT^^^^^^^^^^^;CZLT;&;71355;82;30N;062;20W;65;X;8;CA
ARCTIC^BAY^CS^^^;CXAT;XAT;71592;73;00N;085;02W;19;X;8;CA
ARCTIC^BAY^^^^^^;CYAB;&;&;73;00N;085;03W;22;X;T;8;CA
ARVIAT^AIRPORT^^;CYEK;YEK;&;61;06N;094;04W;10;X;T;6;CA
ARVIAT^CLIMATE^^;CXAR;&;71332;61;06N;094;04W;10;X;8;CA
BAKER^LAKE^AIRPO;CYBK;YBK;71926;64;17N;096;04W;18;X;T;X;5;CA
BAKER^LAKE^^^^^^;CXBL;&;71356;64;19N;096;00W;51;X;8;CA
BREVOORT^ISLAND^;CWOB;WOB;71097;63;19N;064;09W;367;X;7;CA
QIKIQTARJUAQ^^^^;CYVM;&;71338;67;32N;064;01W;6;X;T;6;CA
BROUGHTON^ISLAND;CWVD;WVD;&;67;31N;063;46W;573;X;8;CA
BROWN^RIVER^^^^^;CWBR;&;71049;66;02N;091;50W;31;X;8;CA
CAMBRIDGE^BAY^AR;CYCB;YCB;71925;69;05N;105;07W;27;X;T;X;5;CA
CAMBRIDGE^BAY^^^;CXCM;&;71288;69;06N;105;08W;19;X;8;CA
CAPE^DORSET^AIRP;CYTE;YTE;71910;64;13N;076;31W;47;X;T;6;CA
CAPE^DYER^AIRPOR;CWFD;WFD;71094;66;34N;061;35W;393;X;7;CA
CAPE^HOOPER^^^^^;CWUP;WUP;71093;68;28N;066;49W;390;X;7;CA
CAPE^MERCY^^^^^^;CWYM;WYM;71975;64;57N;063;34W;583;X;7;CA
CAPE^PEEL^WEST^^;CWPX;WPX;71064;69;01N;107;49W;165;X;7;CA
CHESTERFIELD^INL;CYCS;YCS;&;63;21N;090;43W;11;X;7;CA
COPPERMINE^AIRPO;CYCO;YCO;71938;67;49N;115;09W;22;X;T;6;CA
CORAL^HARBOUR^AR;CYZS;YZS;71915;64;12N;083;22W;64;X;T;X;5;CA
CROKER^RIVER^^^^;CWXR;WXR;71059;69;16N;119;13W;69;X;7;CA
CYLDE^AIRPORT^^^;CYCY;YCY;71090;70;28N;068;31W;26;X;T;6;CA
DEWAR^LAKES^^^^^;CWUW;WUW;71092;68;39N;071;10W;527;X;7;CA
ENNADAI^LAKE^(MA;CWJC;WJC;71923;61;08N;100;54W;357;X;7;CA
EUREKA^^^^^^^^^^;CWEU;&;71917;80;00N;085;55W;10;X;X;5;CA
EUREKA^^^^^^^^^^;CYEU;&;&;80;00N;085;49W;78;X;T;6;CA
FROBISHER/IQALUI;CYFB;YFB;71909;63;45N;068;33W;34;X;T;X;5;CA
IQALUIT^(CYFB)^^;&;&;71321;63;45N;068;33W;34;X;8;CA
GJOA^HAVEN^AIRPO;CYHK;YHK;&;68;37N;095;50W;46;X;T;6;CA
GJOA^HAVEN^^^^^^;CZHK;&;71363;68;38N;095;51W;42;X;8;CA
GRISE^FIORD^AIR^;CWGZ;WGZ;&;76;25N;082;54W;45;X;7;CA
HALL^BEACH^AIRPO;CYUX;&;71081;68;46N;081;15W;8;X;T;X;5;CA
HALL^BEACH^^^^^^;CXUX;&;71320;68;47N;081;15W;8;X;8;CA
HAT^ISLAND^^^^^^;CWIL;WIL;71084;68;19N;100;04W;36;X;7;CA
IGLOOLIK^AIRPORT;CYGT;YGT;&;69;22N;081;49W;51;X;T;7;CA
