AMQUI^^^^^^^^^^^;CWZS;WZS;71386;48;28N;067;26W;166;X;7;CA
AKULIVIK^AIRPORT;CYKO;YKO;&;60;49N;078;09W;9;X;7;CA
AUPALUK^^^^^^^^^;CYLA;YLA;&;59;17N;069;35W;35;X;7;CA
BAGOTVILLE(CAN^M;CYBG;YBG;71727;48;20N;070;59W;159;X;T;6;CA
BAIE^COMEAU^AIRP;CYBC;YBC;71187;49;07N;068;12W;22;X;T;6;CA
BARRAGE^ANGLIERS;CWRC;WRC;71820;47;33N;079;14W;266;X;7;CA
BEAUCEVILLE^^^^^;CWHV;WHV;71323;46;12N;070;46W;229;X;7;CA
BEAUPORT^^^^^^^^;CXBO;XBO;71578;46;50N;071;12W;100;X;7;CA
BLANC^SABLON^ARP;CYBX;YBX;71808;51;27N;057;10W;35;X;T;6;CA
BONNARD(AUTO)^^^;CWKD;WKD;71383;50;44N;071;01W;497;X;7;CA
BORDER^(MAPS)^^^;CWTB;WTB;71901;55;19N;063;13W;479;X;7;CA
CAP^CHAT^(MAPS)^;CWSG;WSG;71428;49;07N;066;39W;5;X;7;CA
CAP^D'ESPOIR^(MA;CWRZ;WRZ;71429;48;25N;064;19W;16;X;7;CA
CAP^MADELEINE(MA;CWSF;WSF;71425;49;15N;065;19W;29;X;7;CA
CAP^TOURMENTE^^^;CWTN;WTN;71384;47;04N;070;47W;6;X;7;CA
CHAMOUCHOUANE^AU;CWEE;WEE;71523;49;16N;073;20W;305;X;7;CA
CHAPAIS^^^^^^^^^;CWUK;&;71824;49;49N;074;59W;381;X;8;CA
CHARLEVOIX^(MRX);CWIS;WIS;71319;47;17N;070;38W;719;X;7;CA
CHARLEVOIX^AIRPO;CYML;YML;&;47;36N;070;13W;298;Z;8;CA
CHATHAM^BROWNBRG;CMBB;&;&;45;37N;074;25W;75;X;7;CA
CHEVERY^(MARS)^^;CWDM;WDM;71814;50;28N;059;37W;6;X;7;CA
CHIBOUGAMAU^CHAP;CYMT;YMT;71822;49;46N;074;31W;387;X;T;6;CA
CHUTE^DES^PASSES;CWDT;WDT;71522;49;53N;071;15W;399;X;7;CA
DESCHAMBAULTS^^^;CWHQ;WHQ;71389;46;41N;071;58W;55;X;7;CA
EASTMAIN^RIVER^A;CZEM;ZEM;&;52;13N;078;31W;7;X;7;CA
FRELIGHSBURG^^^^;CWFQ;WFQ;71373;45;02N;072;49W;152;X;7;CA
GASPE^AIRPORT^^^;CYGP;YGP;71188;48;46N;064;28W;33;X;T;6;CA
GATINEAU^AIRPORT;CYND;YND;&;45;31N;075;34W;64;X;T;6;CA
HARRINGTON^^^^^^;CMHN;&;&;45;48N;074;39W;168;X;7;CA
HAVRE^ST^PIERRE^;CYGV;YGV;71313;50;16N;063;37W;33;X;T;6;CA
HEATH^POINT^(MAP;CWHP;&;71423;49;04N;061;42W;4;X;7;CA
HIGH^FALLS^CS^(A;CXHF;XHF;71391;45;50N;075;39W;190;X;7;CA
ICE^AUX^GRUES^^^;CWIG;WIG;&;47;04N;070;32W;18;X;7;CA
ICE^AUX^PERROQUE;CWQR;WQR;71375;50;13N;064;13W;9;X;7;CA
ILE^BICQUETTE^^^;CWQO;WQO;71385;48;25N;068;54W;1;X;7;CA
ILE^CHARRON^^^^^;CWVZ;WVZ;&;45;35N;073;30W;12;X;7;CA
ILE^D'ORLEANS(AU;CWER;WER;71424;47;00N;070;49W;5;X;7;CA
ILE^ROUGE(MAPS)^;CWAF;WAF;71426;48;04N;069;32W;5;X;7;CA
ILES^DE^LA^MADEL;CYGR;YGR;71709;47;25N;061;46W;10;X;T;6;CA
ILES-DE-LA-MADEL;CWGR;WGR;71710;47;25N;061;48W;60;X;7;CA
INUKJUAK^^^^^^^^;&;&;71907;58;27N;078;05W;3;Z;8;CA
INUKJUAK^^^^^^^^;CYPH;YPH;71306;58;28N;078;05W;25;X;T;X;5;CA
IVUJIVIK^ARPT(SA;CYIK;YIK;&;62;25N;077;56W;42;X;T;6;CA
JONQUIERE(AUTO)^;CWJO;WJO;71617;48;26N;071;09W;133;X;7;CA
KANGIKSUALUJJUAQ;CYLU;YLU;&;58;43N;065;58W;60;X;7;CA
KANGIQSUJUAQ(SAW;CYKG;YKG;&;61;34N;071;55W;151;X;7;CA
KANGIRSUK^(SAWR);CYAS;YAS;&;60;01N;070;00W;117;X;7;CA
KUUJJUAQ^AIRPORT;CYVP;YVP;71906;58;07N;068;25W;60;X;T;X;5;CA
KUUJJUARAPIK^ARP;CYGW;YGW;71905;55;16N;077;46W;12;X;T;6;CA
L'ACADIE^^^^^^^^;CWIZ;WIZ;71372;45;17N;073;20W;45;X;7;CA
L'ASSOMPTION^^^^;CWEW;WEW;71524;45;49N;073;26W;21;X;7;CA
LA^BAIE^^^^^^^^^;CWUX;WUX;71388;48;18N;070;56W;135;X;7;CA
LA^GRANDE^III(SA;CYAD;YAD;&;53;34N;076;12W;233;X;7;CA
LA^GRANDE^IV^ARP;CYAH;YAH;71823;53;45N;073;40W;306;X;T;X;5;CA
LA^GRANDE^RIVIER;CYGL;YGL;71827;53;37N;077;42W;195;X;T;6;CA
LA^POCATIERE^^^^;CWST;&;71713;47;21N;070;01W;31;X;7;CA
LA^TUQUE^^^^^^^^;CWDQ;WDQ;71378;47;25N;072;47W;169;X;7;CA
LAC^EON^(MAPS)^^;CWEO;WEO;71421;51;52N;063;16W;561;X;7;CA
LAC^MEMPHREMAGOG;CWTT;WTT;&;45;16N;072;10W;209;X;7;CA
LAC^ST^PIERRE^(A;CWBS;WBS;71198;46;11N;072;55W;16;X;7;CA
LATERRIERE^^^^^^;CXLT;&;71040;48;18N;071;08W;162;X;8;CA
LAUZON^^^^^^^^^^;CWLU;WLU;&;46;50N;071;10W;20;X;7;CA
LENNOXVILLE^^^^^;CWQH;WQH;71611;45;22N;071;49W;181;X;7;CA
LOCHABER^^^^^^^^;CMHB;&;&;45;38N;075;12W;105;X;7;CA
LONGUE^PT^DE^MON;CWBT;WBT;71512;50;16N;064;14W;11;X;7;CA
MANIWAKI^^^^^^^^;CWMJ;WMJ;71721;46;16N;076;00W;200;X;7;CA
MANIWAKI^^^^^^^^;CWMW;WMW;71722;46;22N;075;58W;170;X;8;CA
MATAGAMI^AIRPORT;CYNM;YNM;71821;49;46N;077;49W;281;X;7;CA
MCGILL^RADAR^^^^;CWMN;&;&;45;25N;073;56W;63;X;8;CA
MC^TAVISH^(AUT)^;CWTA;WTA;71612;45;30N;073;35W;63;X;7;CA
MISTOOK^(AUT)^^^;CWIX;WIX;71381;48;36N;071;43W;113;X;7;CA
MONT^JOLI^AIRPOR;CYYY;YYY;71718;48;36N;068;13W;52;X;T;6;CA
MONT^ORFORD^^^^^;CWHY;WHY;71618;45;19N;072;15W;851;X;7;CA
MONTREAL^EST^^^^;CWPQ;WPQ;71675;45;38N;073;30W;6;X;7;CA
MONTREAL/DORVAL^;CYUL;YUL;71627;45;28N;073;44W;36;X;T;0;CA
MONTREAL/DORVAL^;CWTQ;&;71183;45;28N;073;45W;32;X;2;CA
MONTREAL/MIRABEL;CYMX;YMX;71626;45;40N;074;01W;82;X;T;T;1;CA
NATASHQUAN^AIRP^;CYNA;YNA;71813;50;10N;061;49W;11;X;T;6;CA
NEMISCAU^ARPT(SA;CYHH;YHH;&;51;42N;076;07W;244;X;7;CA
NEW^CARLISLE1^^^;CWOC;WOC;71619;48;01N;065;19W;47;X;7;CA
NICOLET^(AUTOB)^;CWNQ;WNQ;71723;46;13N;072;39W;10;X;7;CA
NORMANDIN^^^^^^^;CWOD;WOD;71379;48;51N;072;33W;137;X;7;CA
ONATCHIWAY^^^^^^;CWXC;WXC;71387;48;53N;071;02W;300;X;7;CA
PARC^DES^LAURENT;CWPD;WPD;71382;47;34N;071;13W;803;X;7;CA
PARENT^(MARS)^^^;CWPK;WPK;71726;47;55N;074;37W;442;X;7;CA
POINTE^DES^MONTS;CWTG;WTG;71427;49;19N;067;22W;5;X;7;CA
POINTE^NOIRES^CS;CWIP;WIP;71390;50;10N;066;26W;25;X;7;CA
PORT^MENIER^(MAR;CWBY;WBY;71810;49;49N;064;17W;53;X;7;CA
PUVIRGNITUQ^^^^^;CYPX;YPX;&;60;02N;077;16W;23;X;T;6;CA
POINTE^CLAVEAU^^;CWQV;WQV;71189;48;16N;070;07W;1;X;7;CA
QUAQTAQ^AIRPORT^;CYHA;YHA;71904;61;02N;069;37W;30;X;T;6;CA
QUEBEC^^^^^^^^^^;CYQB;YQB;71714;46;47N;071;22W;73;X;U;2;CA
RAWDON^^^^^^^^^^;CMWD;&;&;46;01N;073;49W;210;X;7;CA
RIVIERE^DU^LOUP^;CWNH;&;71715;47;47N;069;32W;148;X;7;CA
ROBERVAL^AIRPORT;CYRJ;YRJ;71728;48;31N;072;16W;179;X;T;6;CA
ROUYN^AIRPORT^^^;CYUY;YUY;&;48;12N;078;49W;301;X;T;6;CA
SAINT^HUBERT^ARP;CYHU;YHU;71371;45;31N;073;25W;27;X;T;6;CA
SAINT^LOUIS^^^^^;CMLI;&;&;45;52N;073;00W;31;X;7;CA
SALLIUT^ARPT^(SA;CYZG;YZG;&;62;10N;075;40W;226;X;7;CA
SCHEFFERVILLE^AR;CYKL;YKL;71828;54;47N;066;49W;521;X;T;6;CA
SEPT^ILES^AIRPOR;CYZV;YZV;71811;50;13N;066;16W;55;X;T;X;5;CA
SEPT^ILES^^^^^^^;CXZV;&;&;50;13N;066;15W;52;X;8;CA
SHAWINIGAN^^^^^^;CXSH;XSH;71370;46;35N;072;44W;110;X;7;CA
SHERBROOKE^^^^^^;CYSC;YSC;71610;45;26N;071;41W;241;X;U;6;CA
ST^ANICET^^^^^^^;CWBZ;WBZ;71712;45;07N;074;16W;49;X;7;CA
ST^FOY/U^LAVAL^^;CWJB;WJB;71392;46;47N;071;16W;91;X;7;CA
ST^GEDEON^^^^^^^;CWIU;WIU;&;48;29N;071;47W;103;X;7;CA
ST^HENRI^^^^^^^^;CWIA;WIA;&;48;39N;071;51W;103;X;7;CA
ST^JOVITE^(AUTOB;CWJT;WJT;71376;46;04N;074;34W;239;X;7;CA
ST^CLOTHILDE^(A^;CWIT;WIT;71614;45;10N;073;40W;52;X;7;CA
STE^ANNE^DE^BELL;CWVQ;WVQ;71377;45;25N;073;55W;39;X;7;CA
TASIUJAQ^A^^^^^^;CYTQ;YTQ;&;58;40N;069;57W;31;X;T;7;CA
TEMISCAMINQUE^^^;CWBA;&;71732;46;43N;079;06W;181;X;7;CA
TROIS^RIVIERES^^;CWTY;WTY;71724;46;21N;072;31W;6;X;7;CA
TROIS^RIVIERES^^;CYRQ;&;&;46;21N;072;41W;61;X;T;7;CA
UMIUJAQ^^^^^^^^^;CYMU;YMU;&;56;31N;076;31W;71;X;7;CA
VAL^D'OR^AIRPORT;CYVO;YVO;71725;48;04N;077;46W;337;X;T;6;CA
VALCARTIER^AIRPO;CYOY;YOY;71716;46;53N;071;30W;168;X;T;Z;6;CA
VARENNES^^^^^^^^;CWHM;WHM;71184;45;43N;073;22W;192;X;7;CA
VILLEROY^RADAR^^;CWVY;WVY;71616;46;27N;071;55W;108;X;7;CA
