ASSINIBOIA^ARPT^;CWJI;WJI;71487;49;43N;105;55W;724;X;7;CA
BROADVIEW^^^^^^^;CWIK;WIK;71861;50;22N;102;35W;602;X;Z;7;CA
BRATTS^LAKE^^^^^;CXBK;XBK;71569;50;12N;104;42W;580;X;O;7;CA
BROADVIEW^CS^^^^;CWXU;&;71737;50;23N;102;41W;600;X;8;CA
BUFFALO^NARROWS^;CWVT;WVT;71077;55;49N;108;25W;434;X;7;CA
BUFFALO^NARROWS^;CYVT;YVT;&;55;49N;108;25W;434;X;T;Z;6;CA
CANDLE^LAKE^^^^^;CWLZ;WLZ;71146;53;44N;105;16W;503;T;8;CA
CLUFF^LAKE^^^^^^;CXXX;&;71073;58;23N;109;31W;339;X;7;CA
CORONACH^SPC^^^^;CWAQ;WAQ;71516;49;03N;105;29W;756;X;7;CA
CYPRESS^HILLS^PA;CWVP;WVP;71139;49;38N;109;31W;1271;X;T;6;CA
EASTEND^CYPRESS^;CWEH;WEH;71131;49;25N;108;58W;1078;X;7;CA
ELBOW^(MARS)^^^^;CWOK;WOK;71450;51;07N;106;34W;595;X;7;CA
ESTEVAN^AIRPORT^;CYEN;YEN;71862;49;13N;102;58W;581;X;T;7;CA
HUDSON^BAY^^^^^^;CYHB;YHB;71868;52;49N;102;19W;358;X;7;CA
INDIAN^HEAD^CDA^;CWBD;WBD;71194;50;33N;103;39W;582;X;7;CA
JIMMY^LAKE^^^^^^;CWHN;WHN;&;54;53N;109;58W;636;X;7;CA
KEY^LAKE^^^^^^^^;CYKJ;YKJ;71488;57;15N;105;37W;509;X;T;7;CA
KINDERSLEY^^^^^^;CYKY;YKY;71129;51;31N;109;10W;694;X;7;CA
LA^RONGE^AIRPORT;CYVC;YVC;71922;55;09N;105;16W;379;X;T;6;CA
LA^RONGE^AIRPORT;CXOX;XOX;71586;55;09N;105;16W;379;X;7;CA
LEADER^ARPT^(AUT;CWJX;WJX;71459;50;53N;109;30W;672;X;7;CA
LUCKY^LAKE^(AUTO;CWLE;WLE;71455;50;57N;107;09W;665;X;7;CA
MAPLECREEK^(AUTO;CWMQ;WMQ;71453;49;54N;109;28W;767;X;7;CA
MEADOW^LAKE^AIRP;CYLJ;YLJ;71125;54;07N;108;31W;480;X;7;CA
MELFORT^(AUTOB)^;CWFF;WFF;71456;52;49N;104;35W;490;X;7;CA
MOOSE^JAW^(CAN^M;CYMJ;YMJ;71864;50;19N;105;32W;577;X;T;6;CA
MOOSE^JAW^^^^^^^;CZMJ;&;&;50;20N;105;34W;577;X;8;CA
NIPAWIN^AIRPORT^;CYBU;YBU;71130;53;19N;104;00W;374;X;7;CA
NIPAWIN^^^^^^^^^;CWBU;&;&;53;20N;104;01W;373;X;8;CA
NORTH^BATTLEFORD;CYQW;YQW;71876;52;46N;108;15W;548;X;T;6;CA
PRINCE^ALBERT^AR;CYPA;YPA;71869;53;13N;105;40W;428;X;T;6;CA
REGINA^AIRPORT^^;CYQR;YQR;71863;50;26N;104;40W;577;X;T;0;CA
REGINA^UNIVERSIT;CWDJ;WDJ;71514;50;24N;104;35W;573;X;7;CA
ROCKGLEN^(MARS)^;CWKO;WKO;71135;49;10N;105;58W;917;X;7;CA
ROSETOWN^EAST^(A;CWRJ;WRJ;71510;51;34N;107;55W;586;X;7;CA
SASKATOON^AIRPOR;CYXE;YXE;71866;52;10N;106;42W;504;X;T;X;5;CA
SOUTHEND^(AUTOB);CWJH;WJH;71451;56;19N;103;16W;344;X;7;CA
SPIRITWOOD^WEST^;CWSR;WSR;71133;53;22N;107;32W;584;X;7;CA
STONY^RAPIDS^ARP;CYSF;YSF;71132;59;15N;105;49W;250;X;T;6;CA
SWIFT^CURREN^^^^;CYYN;YYN;71870;50;16N;107;40W;818;X;U;6;CA
URANIUM^CITY(MAR;CWDC;WDC;71076;59;34N;108;28W;318;X;7;CA
VAL^MARIE^SE(AUT;CWVN;WVN;71137;49;04N;107;34W;785;X;7;CA
WATROUS^EAST^(AU;CWIW;WIW;71511;51;40N;105;24W;526;X;7;CA
WEYBURN^(AUTOB)^;CWWF;WWF;71452;49;42N;103;48W;589;X;7;CA
WYNYARD^(AUT)^^^;CWOY;WOY;71865;51;46N;104;12W;560;X;7;CA
YORKTON^AIRPORT^;CYQV;YQV;71292;51;16N;102;28W;498;X;U;6;CA
WALDRON^VOR^^^^^;CYDR;YDR;&;50;22N;102;32W;615;Z;8;CA
CANADA^ARTCC^^^^;CZFD;ZFD;&;59;19N;107;11W;131;A;8;CA
