AIKEN^^^^^^^^^^^;KAIK;AIK;&;33;39N;081;41W;161;X;8;US
ALLENDALE^^^^^^^;KAQX;AQX;&;33;00N;081;16W;50;X;8;US
ANDERSON^^^^^^^^;KAND;AND;&;34;30N;082;43W;239;X;T;A;6;US
BARNWELL^^^^^^^^;KBNL;BNL;&;33;15N;081;23W;75;X;7;US
BEAUFORT^MCAS^^^;KNBC;NBC;&;32;28N;080;43W;12;X;T;6;US
BEAUFORT^CNTY^^^;KARW;ARW;&;32;25N;080;38W;4;X;7;US
BERKELEY^MONCKS^;KMKS;MKS;&;33;11N;080;02W;23;X;7;US
CAMDEN^WOODWARD^;KCDN;CDN;&;34;17N;080;34W;92;X;8;US
CHARLESTON^^^^^^;KCHS;CHS;72208;32;54N;080;02W;13;X;U;X;A;F;1;US
CHARLESTON/GRAYS;KCLX;CLX;&;32;39N;081;03W;30;X;8;US
CHARLESTON/EXEC^;KJZI;JZI;&;32;42N;080;00W;6;X;8;US
CHERAW^^^^^^^^^^;KCQW;CQW;&;34;43N;079;57W;73;X;8;US
CHESTER^CATAWBA^;KDCM;DCM;&;34;47N;081;12W;200;X;8;US
CLEMSON^^^^^^^^^;KCEU;CEU;&;34;40N;082;53W;268;X;A;7;US
COLLIERS^VOR^^^^;KIRQ;IRQ;&;33;43N;082;10W;147;V;8;US
COLUMBIA^^^^^^^^;KCAE;CAE;72310;33;56N;081;07W;70;X;X;U;A;F;3;US
COLUMBIA-OWENS^^;KCUB;CUB;&;33;58N;081;00W;56;X;T;A;7;US
CONWAY-HORRY^CTY;KHYW;HYW;&;33;50N;079;07W;11;X;8;US
DARLINGTON^CNTY^;KUDG;UDG;&;34;27N;079;53W;59;X;7;US
FLORENCE^^^^^^^^;KFLO;FLO;&;34;11N;079;44W;44;X;U;A;6;US
GEORGETOWN^^^^^^;KGGE;GGE;&;33;19N;079;19W;12;X;8;US
GREENWOOD^^^^^^^;KGRD;GRD;&;34;15N;082;09W;185;X;A;7;US
GREER/SPARTANSBG;KGSP;GSP;72312;34;54N;082;13W;287;X;X;T;A;F;3;US
GREENVILLE^^^^^^;KGMU;GMU;&;34;51N;082;21W;315;X;T;A;5;US
GREENVILLE^^^^^^;KGYH;GYH;&;34;45N;082;23W;292;X;W;7;US
HARTSVILLE^^^^^^;KHVS;HVS;&;34;24N;080;07W;111;X;8;US
HILTON^HEAD^^^^^;KHXD;HXD;&;32;13N;080;42W;6;X;W;7;US
KINGSTREE^^^^^^^;KCKI;CKI;&;33;43N;079;51W;21;X;8;US
LANCASTER^^^^^^^;KLKR;LKR;&;34;43N;080;51W;149;X;8;US
LAURENS^^^^^^^^^;KLUX;LUX;&;34;30N;081;57W;213;X;8;US
MANNING^^^^^^^^^;KMNI;MNI;&;33;35N;080;13W;32;X;8;US
MARION^^^^^^^^^^;KMAO;MAO;&;34;11N;079;20W;28;X;8;US
MARLBORO^CNTY^^^;KBBP;BBP;&;34;37N;079;44W;45;X;8;US
MCENTIRE^ANG^BAS;KMMT;MMT;&;33;55N;080;47W;77;X;T;6;US
MOUNT^PLEASANT^^;KLRO;LRO;&;32;54N;079;47W;4;X;8;US
MYRTLE^BEACH^^^^;KMYR;MYR;74791;33;40N;078;55W;8;X;T;6;US
NORTH^MYRTLE^BEA;KCRE;CRE;&;33;49N;078;43W;10;X;U;A;6;US
NEWBERRY^^^^^^^^;KEOE;EOE;&;34;19N;081;38W;174;X;8;US
ORANGEBURG^^^^^^;KOGB;OGB;&;33;28N;080;51W;59;X;T;A;7;US
PICKENS^^^^^^^^^;KLQK;LQK;&;34;49N;082;42W;309;X;W;8;US
ROCK^HILL^^^^^^^;KUZA;UZA;&;34;59N;081;03W;202;X;A;7;US
SHAW^AFB/SUMTER^;KSSC;SSC;74790;33;58N;080;28W;74;X;T;6;US
SPARTANBURG^^^^^;KSPA;SPA;&;34;55N;081;56W;303;X;V;8;US
SUMMERVILLE^^^^^;KDYB;DYB;&;33;04N;080;17W;18;X;8;US
SUMTER^^^^^^^^^^;KSMS;SMS;&;34;00N;080;22W;56;X;8;US
WALTERBORO^^^^^^;KRBW;RBW;&;32;55N;080;38W;31;X;8;US
WINNSBORO^^^^^^^;KFDW;FDW;&;34;19N;081;07W;176;X;8;US
CHARLESTON^AFB^^;KIGC;IGC;&;32;54N;080;02W;14;Z;T;8;US
FOLLY^ISLAND^^^^;&;&;99423;32;40N;079;07W;3;Z;8;US
GRNVL/DNLDSN^^^^;KXAA;XAA;&;34;45N;082;23W;320;Z;8;US
HILTON^HEAD^^^^^;K49J;49J;&;32;13N;080;42W;6;Z;8;US
ROCK^HILL^^^^^^^;K29J;29J;&;34;59N;081;03W;202;Z;8;US
SUMTER/POINSETT^;K2PJ;2PJ;74792;33;51N;080;29W;68;Z;8;US
