ABERDEEN^^^^^^^^;KABR;ABR;72659;45;27N;098;25W;397;X;X;U;X;F;3;US
BELLE^FOURCHE^^^;KEFC;EFC;&;44;43N;103;52W;982;X;7;US
BISON^^^^^^^^^^^;K6V5;6V5;&;45;31N;102;28W;851;X;W;7;US
BRITTON^^^^^^^^^;KBTN;BTN;&;45;49N;097;45W;402;X;W;7;US
BROOKINGS^^^^^^^;KBKX;BKX;&;44;17N;096;49W;502;X;W;7;US
BUFFALO^^^^^^^^^;K2WX;2WX;&;45;36N;103;33W;915;X;A;7;US
CHAMBERLAIN^^^^^;K9V9;9V9;72653;43;46N;099;19W;519;X;A;7;US
CLARK^^^^^^^^^^^;K8D7;8D7;&;44;54N;097;43W;547;X;W;7;US
CUSTER^^^^^^^^^^;KCUT;CUT;&;43;44N;103;37W;1725;X;A;7;US
DESMET^^^^^^^^^^;K6E5;6E5;&;44;26N;097;33W;527;X;W;7;US
DUPREE^^^^^^^^^^;KDPR;DPR;&;45;04N;101;42W;771;V;8;US
EAGLE^BUTTE^^^^^;K84D;84D;&;44;59N;101;15W;746;X;W;7;US
ELLSWORTH^AFB^^^;KRCA;RCA;&;44;08N;103;05W;999;X;T;6;US
FAITH^^^^^^^^^^^;KD07;D07;&;45;02N;102;01W;784;X;A;7;US
FAULKTON^^^^^^^^;K3FU;3FU;&;45;02N;099;07W;478;X;W;7;US
GETTYSBURG^^^^^^;K0D8;0D8;&;44;59N;099;57W;629;X;W;7;US
GREGORY^^^^^^^^^;K9D1;9D1;&;43;13N;099;24W;663;X;W;7;US
HOT^SPRINGS^^^^^;KHSR;HSR;&;43;22N;103;23W;960;X;W;7;US
HURON^^^^^^^^^^^;KHON;HON;72654;44;23N;098;14W;390;X;T;A;6;US
LEMMON^^^^^^^^^^;KY22;Y22;72669;45;55N;102;10W;781;X;7;US
MADISON^^^^^^^^^;KMDS;MDS;&;44;01N;097;05W;524;X;7;US
MARTIN^^^^^^^^^^;K9V6;9V6;&;43;10N;101;43W;1004;X;W;7;US
MILLBANK^^^^^^^^;K1D1;1D1;&;45;14N;096;34W;341;X;W;7;US
MILLER^^^^^^^^^^;KMKA;MKA;&;44;32N;098;57W;479;X;W;7;US
MITCHELL^^^^^^^^;KMHE;MHE;&;43;46N;098;01W;397;X;W;7;US
MOBRIDGE^^^^^^^^;KMBG;MBG;72668;45;33N;100;25W;510;X;T;A;6;US
ONIDA^^^^^^^^^^^;K98D;98D;&;44;42N;100;06W;571;X;W;7;US
PARKSTON^^^^^^^^;K8V3;8V3;&;43;23N;097;59W;432;X;W;7;US
PHILIP^^^^^^^^^^;KPHP;PHP;&;44;03N;101;36W;672;X;A;7;US
PIERRE^^^^^^^^^^;KPIR;PIR;&;44;23N;100;17W;526;X;U;A;3;US
PINE^RIDGE^^^^^^;KIEN;IEN;&;43;02N;102;31W;998;X;A;7;US
PLATTE^^^^^^^^^^;K1D3;1D3;&;43;24N;098;50W;493;X;W;7;US
RAPID^CITY/WFO^^;KUNR;UNR;72662;44;04N;103;12W;1027;X;X;F;8;US
RAPID^CITY^^^^^^;KRAP;RAP;&;44;03N;103;03W;965;X;U;A;2;US
RAPID/N^UNDERWOD;KUDX;UDX;&;44;08N;102;50W;919;X;8;US
SIOUX^FALLS^^^^^;KFSD;FSD;72651;43;35N;096;45W;436;X;X;U;A;F;2;US
SISSETON^^^^^^^^;K8D3;8D3;&;45;40N;096;59W;354;X;A;7;US
SPEARFISH/CLYDE^;KSPF;SPF;&;44;28N;103;46W;1188;X;7;US
STURGIS^^^^^^^^^;K49B;49B;&;44;25N;103;23W;989;X;W;7;US
TEA^^^^^^^^^^^^^;KY14;Y14;&;43;27N;096;48W;462;X;W;7;US
VERMILLION^^^^^^;KVMR;VMR;&;42;46N;096;56W;349;X;W;7;US
WAGNER^^^^^^^^^^;KAGZ;AGZ;&;43;04N;098;18W;451;X;W;7;US
WALL^^^^^^^^^^^^;K6V4;6V4;&;44;00N;102;15W;857;X;W;7;US
WATERTOWN^^^^^^^;KATY;ATY;&;44;54N;097;09W;532;X;T;A;6;US
WEBSTER^^^^^^^^^;K1D7;1D7;&;45;18N;097;31W;566;X;W;7;US
WESSINGTON^SPRIN;K4X4;4X4;&;44;04N;098;32W;471;X;W;7;US
WINNER^^^^^^^^^^;KICR;ICR;&;43;23N;099;51W;621;X;A;7;US
WINNER^^^^^^^^^^;KSFD;SFD;&;43;23N;099;51W;621;Z;9;US
YANKTON^^^^^^^^^;KYKN;YKN;&;42;55N;097;22W;398;X;W;7;US
BELLE^FOURCHE^^^;KBEL;BEL;&;44;48N;104;03W;971;X;M;9;US
JCT^SD44^US385^^;KPAC;PAC;&;44;06N;103;31W;1494;X;M;9;US
ELLSWORTH^I90^^^;KEL0;EL0;&;44;07N;103;05W;939;X;M;9;US
WASTA^I90^^^^^^^;KWTA;&;&;44;05N;102;29W;810;X;M;9;US
SHERIDAN^LAKE^RD;KSL0;SL0;&;44;02N;103;26W;1478;X;M;9;US
EDGEMONT^US18^^^;KED0;ED0;&;43;17N;103;53W;1136;X;M;9;US
SD-WY^BORDR^US85;KNE0;NE0;&;44;11N;104;03W;1940;X;M;9;US
GLAD^VLY^SD20^^^;KGLV;&;&;45;24N;101;47W;753;X;M;9;US
BATESLAND^US18^^;KBAT;BAT;&;43;08N;102;06W;1042;X;M;9;US
LEMMON^US12^^^^^;KLEM;LEM;&;45;56N;102;11W;783;X;M;9;US
ANDOVER^^^^^^^^^;KADR;ADR;&;45;26N;097;56W;453;X;M;9;US
BELVIDERE^^^^^^^;KBVD;BVD;&;43;54N;101;08W;728;X;M;9;US
BRANDT^^^^^^^^^^;KBRA;BRA;&;44;41N;096;51W;564;X;M;9;US
CACTUS^FLATS^^^^;KCAC;CAC;&;43;50N;101;46W;751;X;M;9;US
KADOKA^^^^^^^^^^;KKAD;KAD;&;43;52N;101;50W;765;X;M;9;US
FREDERICK^^^^^^^;KFED;FED;&;45;56N;098;34W;427;X;M;9;US
HARROLD^^^^^^^^^;KHRD;HRD;&;44;32N;099;42W;547;X;M;9;US
HERRIED^^^^^^^^^;KHER;HER;&;45;51N;100;06W;513;X;M;9;US
RELIANCE^^^^^^^^;KREL;REL;&;43;52N;099;34W;542;X;M;9;US
SUMMIT^^^^^^^^^^;KSUM;SUM;&;45;20N;097;05W;607;X;M;9;US
TOLSTOY^^^^^^^^^;KTLS;TLS;&;45;13N;099;40W;596;X;M;9;US
VICTOR^^^^^^^^^^;KVIC;VIC;&;45;54N;096;52W;329;X;M;9;US
VIVIAN^^^^^^^^^^;KVIV;VIV;&;44;14N;100;22W;588;X;M;9;US
CUSTER^^^^^^^^^^;K0V1;0V1;&;43;44N;103;37W;1725;Z;8;US
MOBRIDGE^^^^^^^^;KY26;Y26;&;45;32N;100;26W;508;Z;8;US
PHILIP^^^^^^^^^^;KP05;P05;&;44;04N;101;39W;683;Z;8;US
PICKSTOWN^^^^^^^;&;PKW;72652;43;04N;098;31W;453;Z;8;US
REDIG^^^^^^^^^^^;KREJ;REJ;72661;45;16N;103;32W;925;Z;8;US
ABERDEEN^^^^^^^^;QABS;&;&;45;29N;098;28W;395;X;S;9;US
ALCESTER^^^^^^^^;QALS;&;&;43;01N;096;38W;342;X;S;9;US
BALTIC^^^^^^^^^^;QBAS;&;&;43;46N;096;44W;342;X;S;9;US
BRANDON^^^^^^^^^;QBRS;&;&;43;36N;096;35W;342;X;S;9;US
FT^THOMPSON^^^^^;QCES;&;&;44;04N;099;26W;440;X;S;9;US
CLARK^^^^^^^^^^^;QCLS;&;&;44;53N;097;44W;342;X;S;9;US
REDFIELD^^^^^^^^;QDPS;&;&;44;53N;098;31W;397;X;S;9;US
LEAD^^^^^^^^^^^^;QDSS;&;&;44;21N;103;47W;1560;X;S;9;US
ELKTON^^^^^^^^^^;QEKS;&;&;44;14N;096;29W;342;X;S;9;US
PARKSTON^^^^^^^^;QESS;&;&;43;24N;097;59W;426;X;S;9;US
GETTYSBURG^^^^^^;QETS;&;&;45;01N;099;58W;628;X;S;9;US
GARRETSON^^^^^^^;QGAS;&;&;43;43N;096;30W;342;X;S;9;US
CHAMBERLAIN^^^^^;QHAS;&;&;43;48N;099;20W;447;X;S;9;US
BRITTON^^^^^^^^^;QHHS;&;&;45;47N;097;45W;414;X;S;9;US
HOWARD^^^^^^^^^^;QHOS;&;&;44;01N;097;32W;342;X;S;9;US
WINNER^^^^^^^^^^;QHSS;&;&;43;23N;099;52W;622;X;S;9;US
HURON^^^^^^^^^^^;QHUS;&;&;44;21N;098;14W;388;X;S;9;US
KADOKA^^^^^^^^^^;QKAS;&;&;43;50N;101;31W;749;X;S;9;US
BROOKINGS^^^^^^^;QKGS;&;&;44;17N;096;47W;495;X;S;9;US
MILLER^^^^^^^^^^;QLES;&;&;44;31N;098;59W;484;X;S;9;US
CLEAR^LAKE^^^^^^;QLKS;&;&;44;45N;096;41W;342;X;S;9;US
COLTON^^^^^^^^^^;QLTS;&;&;43;44N;096;55W;478;X;S;9;US
MADISON^^^^^^^^^;QMMS;&;&;44;01N;097;06W;510;X;S;9;US
MILBANK^^^^^^^^^;QMIS;&;&;45;12N;096;38W;354;X;S;9;US
MISSION^^^^^^^^^;QMSS;&;&;43;18N;100;40W;784;X;S;9;US
