ALBACETE^(CIV/MI;LEAB;&;08280;38;57N;001;51W;704;X;T;7;ES
ALICANTE/EL^ALTE;LEAL;&;08360;38;16N;000;33W;31;X;T;6;ES
ALMERIA^AIRPORT^;LEAM;&;08487;36;51N;002;22W;21;X;T;6;ES
ASTURIAS/AVILES^;LEAS;&;08011;43;32N;006;01W;134;X;T;6;ES
CORDOBA^AIRPORT^;LEBA;&;08410;37;51N;004;49W;92;X;T;7;ES
BILBAO/SONDICA^^;LEBB;&;08025;43;17N;002;55W;34;X;T;6;ES
BURGOS/VILLAFRIA;LEBG;&;08075;42;22N;003;37W;891;X;T;7;ES
BARCELONA^AIRPOR;LEBL;&;08181;41;16N;002;04E;6;X;T;6;ES
BARDENAS^REALES^;LEBR;&;08087;42;12N;001;26W;295;X;T;7;ES
TALAVERA^AB/BADA;LEBZ;&;08330;38;52N;006;49W;192;X;T;6;ES
CALAMOCHA^^^^^^^;LECH;&;08233;40;52N;001;18W;899;X;7;ES
LA^CORUNA/ALVEDR;LECO;&;08002;43;17N;008;22W;103;X;T;6;ES
MADRI-COLMENAR^^;LECV;&;08219;40;38N;003;43W;710;X;T;7;ES
LLEIDA/ALGUAIRE^;LEDA;&;&;41;44N;000;32E;350;X;7;ES
ARMILLA^(CIV/MIL;LEGA;&;&;37;07N;003;37W;686;X;T;7;ES
GERONA/COSTA^BRA;LEGE;&;08184;41;53N;002;46E;129;X;T;6;ES
GRANADA^AIRPORT^;LEGR;&;08419;37;10N;003;46W;559;X;T;6;ES
MADRID/GETAFE^(A;LEGT;&;08224;40;17N;003;43W;612;X;T;7;ES
HUESCA-PIRINEOS^;LEHC;&;&;42;05N;000;19W;539;X;T;8;ES
HINOJOSA^DEL^DUQ;LEHI;&;08335;38;31N;005;07W;534;X;7;ES
IBIZA/ES^CODOLA^;LEIB;&;08373;38;52N;001;22E;12;X;T;6;ES
JEREZ^(CIV/MIL)^;LEJR;&;08451;36;45N;006;04W;30;X;T;6;ES
SAN^JAVIER(MIL/C;LELC;&;08433;37;46N;000;48W;3;X;T;6;ES
SABADELL^^^^^^^^;LELL;&;&;41;31N;002;06E;250;X;T;6;ES
LEON/VIRGEN^CAMI;LELN;&;08055;42;34N;005;39W;914;X;T;6;ES
LOGRONO/AGONCILL;LELO;&;08084;42;27N;002;19W;363;X;T;7;ES
MADRID/BARAJAS^^;LEMD;&;08221;40;29N;003;34W;582;X;T;X;6;ES
MALAGA^(CIV/MIL);LEMG;&;08482;36;40N;004;30W;7;X;T;6;ES
MAHON/MENORCA^IS;LEMH;&;08314;39;52N;004;13E;82;X;T;6;ES
MORON^(SP-USAFB);LEMO;&;08397;37;10N;005;37W;88;X;T;6;ES
PALMA^DE^MALLORC;LEPA;&;08306;39;32N;002;43E;8;X;T;6;ES
PAMPLONA/NOAIN^^;LEPP;&;08085;42;46N;001;39W;459;X;T;6;ES
ALCANTARILLA(SP-;LERI;&;08429;37;57N;001;13W;75;X;T;7;ES
REUS^(CIV/MIL)^^;LERS;&;08175;41;08N;001;10E;76;X;T;6;ES
ROTA^NAVAL^STATI;LERT;&;08449;36;38N;006;20W;26;X;T;X;6;ES
ROTA^NAVAL^STATI;KQNR;&;&;36;38N;006;20W;26;X;T;6;ES
SALAMANCA^(CIV/M;LESA;&;08202;40;57N;005;30W;795;X;T;6;ES
SAN^SEBASTIAN/FU;LESO;&;08029;43;21N;001;48W;8;X;T;6;ES
SANTIAGO/LABACOL;LEST;&;08042;42;53N;008;25W;367;X;T;6;ES
PIRINEUS/LA^SEU^;LESU;&;&;42;20N;001;24E;800;X;7;ES
SEVILLA/TABLADA^;LETA;&;08390;37;22N;006;00W;14;X;7;ES
TORREJON^(USAFB);LETO;&;08227;40;28N;003;28W;608;X;T;6;ES
VALENCIA^(CIV/MI;LEVC;&;08284;39;30N;000;28W;62;X;T;6;ES
VALLADOLID(MIL/C;LEVD;&;08140;41;43N;004;50W;854;X;T;6;ES
MADRID/CUATRO^VI;LEVS;&;08223;40;22N;003;46W;687;X;T;6;ES
VITORIA^^^^^^^^^;LEVT;&;08080;42;52N;002;43W;509;X;T;6;ES
VIGO/PEINADOR^^^;LEVX;&;08045;42;13N;008;37W;256;X;T;6;ES
SANTANDER/PARAYA;LEXJ;&;08021;43;25N;003;49W;6;X;T;6;ES
ZARAGOZA^(USAFB);LEZA;&;&;41;40N;001;03W;263;X;7;ES
ZARAGOZA^(MIL/CI;LEZG;&;08160;41;40N;001;01W;258;X;T;X;6;ES
SEVILLA^(CIV/MIL;LEZL;&;08391;37;25N;005;54W;31;X;T;6;ES
LA^CORUNA^CITY^^;&;&;08001;43;22N;008;25W;67;X;6;ES
SANTANDER^CITY^^;&;&;08023;43;28N;003;49W;79;X;6;ES
PALMA^D^MALLORCA;&;&;08301;39;33N;002;37W;6;X;6;ES
PALMA/SON^BONET^;&;&;08302;39;36N;002;42W;41;X;6;ES
MURCIA^CITY^^^^^;&;&;08430;37;59N;001;07W;54;X;6;ES
FUERTEVENTURA^AR;GCFV;&;60035;28;26N;013;52W;23;X;T;6;ES
LA^GOMERA^ARPT^^;GCGM;&;&;28;02N;017;13W;219;X;T;8;ES
HIERRO^AIRPORT^^;GCHI;&;60001;27;49N;017;52W;30;X;T;7;ES
LA^PALMA^AIRPORT;GCLA;&;60005;28;37N;017;45W;31;X;T;6;ES
LAS^PALMAS/GANDO;GCLP;&;60030;27;55N;015;22W;25;X;T;6;ES
ARRECIFE/LANZARO;GCRR;&;60040;28;56N;013;35W;40;X;T;6;ES
TENERIFE^SUR/REI;GCTS;&;60025;28;03N;016;34W;72;X;T;6;ES
TENERIFE/LOS^ROD;GCXO;&;60015;28;29N;016;21W;632;X;T;6;ES
MELILLA^^^^^^^^^;GEML;&;60338;35;16N;002;57W;55;X;T;6;ES
