ATHENS/MCMINN^^^;KMMI;MMI;&;35;24N;084;34W;266;X;W;7;US
BOLIVAR/WHITEHST;KM08;M08;&;35;13N;089;03W;152;X;7;US
BRISTOL^^^^^^^^^;KTRI;TRI;&;36;29N;082;24W;474;X;T;A;4;US
CHATTANOOGA^^^^^;KCHA;CHA;72324;35;02N;085;12W;210;X;T;A;4;US
CHATTANOOGA^VOR^;KGQO;GQO;&;34;58N;085;09W;210;V;8;US
CLARKSVILLE^^^^^;KCKV;CKV;&;36;37N;087;25W;165;X;T;A;7;US
CLEVELAND^REG.^^;KRZR;RZR;&;35;13N;084;48W;263;X;W;7;US
COLLEGEDALE^^^^^;K3M3;3M3;&;35;03N;085;01W;262;X;W;8;US
COLUMBIA^^^^^^^^;KMRC;MRC;&;35;33N;087;11W;208;X;8;US
COVINGTON^MUNI^^;KM04;M04;&;35;35N;089;35W;85;X;7;US
CROSSVILLE^^^^^^;KCSV;CSV;&;35;57N;085;05W;570;X;T;A;6;US
DAYTON^^^^^^^^^^;K2A0;2A0;&;35;29N;084;56W;219;X;7;US
DEWITT^SPAIN/MEM;KM01;M01;&;35;12N;090;03W;69;X;W;8;US
DICKSON^^^^^^^^^;KM02;M02;&;36;08N;087;26W;272;X;8;US
DYERSBURG^^^^^^^;KDYR;DYR;&;36;00N;089;24W;103;X;V;6;US
ELIZABETHTON^^^^;K0A9;0A9;&;36;22N;082;10W;486;X;8;US
FAYETTEVILLE^^^^;KFYM;FYM;&;35;04N;086;34W;300;X;8;US
FRANKLIN^WILKINS;KM52;M52;&;35;39N;088;23W;157;X;7;US
GALLATIN^^^^^^^^;KM33;M33;&;36;23N;086;25W;178;X;8;US
HOLSTON^MTN^VOR^;KHMV;HMV;&;36;26N;082;08W;1317;V;8;US
HUNTINGDON^^^^^^;KHZD;HZD;&;36;05N;088;28W;151;X;7;US
JACKSBORO^^^^^^^;KJAU;JAU;&;36;20N;084;10W;360;X;7;US
JACKSON^^^^^^^^^;KMKL;MKL;&;35;36N;088;55W;128;X;T;A;6;US
KNOXVILLE^^^^^^^;KTYS;TYS;72326;35;49N;083;59W;302;X;T;A;4;US
KNOXVILLE^VOR^^^;KVXV;VXV;&;35;54N;083;53W;302;V;8;US
KNOXVILLE^^^^^^^;KDKX;DKX;&;35;58N;083;52W;254;X;8;US
LAWRENCEBURG^^^^;K2M2;2M2;&;35;14N;087;15W;286;X;W;8;US
LEBANON^^^^^^^^^;KM54;M54;&;36;11N;086;19W;180;X;8;US
LEWISBURG^^^^^^^;KLUG;LUG;&;35;30N;086;48W;219;X;8;US
LEXINGTON-PARSON;KPVE;PVE;&;35;39N;088;11W;149;X;7;US
LIVINGSTON^^^^^^;K8A3;8A3;&;36;25N;085;19W;419;X;8;US
MADISONVILLE^^^^;KMNV;MNV;&;35;33N;084;23W;314;X;8;US
MCMINNVILLE^^^^^;KRNC;RNC;&;35;42N;085;51W;315;X;8;US
MEMPHIS^^^^^^^^^;KMEM;MEM;72334;35;04N;089;59W;86;X;U;A;2;US
MEMPHIS/WFO^^^^^;KMEG;MEG;&;35;03N;090;00W;101;F;8;US
MEMPHIS/ARTCC^^^;KZME;ZME;&;35;03N;089;59W;101;A;8;US
MILLINGTON/88D^^;KNQA;NQA;&;35;21N;089;52W;86;X;X;5;US
MILLINGTON^^^^^^;K2M8;2M8;&;35;17N;089;56W;75;X;W;8;US
MORRISTOWN/KNOX^;KMRX;MRX;&;36;10N;083;24W;408;X;F;8;US
MORRISTOWN/MOORE;KMOR;MOR;&;36;11N;083;23W;401;X;8;US
MURFREESBORO^^^^;KMBT;MBT;&;35;53N;086;23W;188;X;8;US
NASHVILLE^^^^^^^;KBNA;BNA;72327;36;07N;086;41W;210;X;U;X;A;2;US
NASHV/JC^TUNE^^^;KJWN;JWN;&;36;11N;086;53W;151;X;8;US
OAK^RIDGE^^^^^^^;KOQT;OQT;&;36;01N;084;14W;277;X;A;7;US
OLD^HICKORY/NASH;KOHX;OHX;&;36;15N;086;34W;176;X;F;8;US
PARIS^HENRY^CTY^;KPHT;PHT;&;36;20N;088;23W;177;X;7;US
PORTLAND^^^^^^^^;K1M5;1M5;&;36;36N;086;29W;250;X;8;US
PULASKI^^^^^^^^^;KGZS;GZS;&;35;09N;087;03W;210;X;8;US
ROCKWOOD^^^^^^^^;KRKW;RKW;&;35;55N;084;41W;508;X;8;US
SAVANNAH^HARDIN^;KSNH;SNH;&;35;10N;088;13W;144;X;7;US
SEVIERVILLE^^^^^;KGKT;GKT;&;35;51N;083;32W;309;X;8;US
SHELBYVILLE^^^^^;KSYI;SYI;&;35;34N;086;27W;245;X;8;US
SMYRNA^^^^^^^^^^;KMQY;MQY;&;36;01N;086;31W;166;X;7;US
SOMERVILLE^^^^^^;KFYE;FYE;&;35;12N;089;24W;133;X;8;US
SPARTA^^^^^^^^^^;KSRB;SRB;&;36;03N;085;32W;313;X;8;US
SPRINGFIELD^^^^^;KM91;M91;&;36;32N;086;55W;216;X;8;US
TULLAHOMA^^^^^^^;KTHA;THA;&;35;23N;086;15W;331;X;8;US
UNION^CITY^^^^^^;KUCY;UCY;&;36;23N;088;59W;104;X;7;US
WINCHESTER^^^^^^;KBGF;BGF;&;35;11N;086;04W;299;X;8;US
MONTEAGLE^^^^^^^;KMGL;MGL;&;35;15N;085;51W;586;Z;8;US
SELMER^^^^^^^^^^;KSZY;SZY;&;35;12N;088;30W;100;X;8;US
