BELFAST/ALDERGRO;EGAA;&;03917;54;38N;006;13W;81;X;T;6;GB
BELFAST^HARBOUR^;EGAC;&;03924;54;37N;005;52W;5;X;T;6;GB
EGLINTON/LONDOND;EGAE;&;&;55;02N;007;09W;9;X;T;6;GB
BIRMINGHAM^AIRPO;EGBB;&;03534;52;28N;001;45W;99;X;T;6;GB
CAMPBELTOWN^^^^^;EGEC;CAL;&;55;26N;005;41W;13;X;T;8;GB
COVENTRY^AIRPORT;EGBE;&;&;52;22N;001;28W;82;X;T;6;GB
STAVERTON^(PRIVA;EGBJ;&;&;51;54N;002;10W;29;X;T;6;GB
KEMBLE^RAF^^^^^^;EGBP;&;&;51;40N;002;02W;133;X;7;GB
MANCHESTER^INTL^;EGCC;&;03334;53;21N;002;16W;78;X;T;6;GB
STRUBBY^HELIPORT;EGCG;&;&;53;19N;000;10E;14;X;7;GB
DONCASTER^SHEFFI;EGCN;&;&;53;29N;001;00W;17;X;T;7;GB
PLYMOUTH/MOUNTBA;EGDB;&;03827;50;21N;004;07W;27;X;7;GB
CHIVENOR^RAF^^^^;EGDC;&;03707;51;05N;004;09W;8;X;7;GB
NEWQUAY^^^^^^^^^;EGHQ;&;&;50;26N;005;00W;119;X;T;6;GB
LYNEHAM^RAF^^^^^;EGDL;&;03740;51;30N;001;58W;156;X;T;6;GB
BOSCOMBE^DOWN^^^;EGDM;&;03746;51;10N;001;45W;124;X;T;7;GB
NETHERAVON^(ARMY;EGDN;&;03745;51;15N;001;46W;139;X;T;7;GB
PORTLAND^HELIPOR;EGDP;&;03858;50;34N;002;27W;3;X;7;GB
CULDROSE^(NAVY)^;EGDR;&;03809;50;05N;005;15W;82;X;T;7;GB
ST^ATHAN^RAF^^^^;EGDX;&;&;51;24N;003;26W;50;X;T;7;GB
YEOVILTON^(NAVY);EGDY;&;03853;51;00N;002;37W;23;X;T;7;GB
OBAN^AIRPORT^^^^;EGEO;&;&;56;28N;005;24W;6;X;T;8;GB
CARDIFF-WALES^AR;EGFF;&;03715;51;23N;003;21W;67;X;T;6;GB
SWANSEA^^^^^^^^^;EGFH;&;&;51;36N;004;04W;90;X;7;GB
BRISTOL/LULSGATE;EGGD;&;&;51;22N;002;43W;189;X;T;6;GB
LIVERPOOL^AIRPOR;EGGP;&;&;53;19N;002;51W;26;X;T;6;GB
LUTON^AIRPORT^^^;EGGW;&;&;51;52N;000;22W;160;X;T;6;GB
PLYMOUTH/ROBOROU;EGHD;&;&;50;25N;004;07W;25;X;T;6;GB
SCILLY^SAINT^MAR;EGHE;&;03803;49;55N;006;17W;31;X;T;6;GB
BOURNEMOUTH^AIRP;EGHH;&;03862;50;47N;001;50W;11;X;T;6;GB
